model,setting,language,difficulty,pairs,valid_pairs,correct_pairs,valid_accuracy,effective_accuracy,strict_swap_error,spearman_valid_only
OpenGVLab/InternVL3-8B,combined_labeled_image_only,cuda,easy,922,395,269,0.6810126582278481,0.2917570498915401,0.571583514099783,0.377222615300006
OpenGVLab/InternVL3-8B,combined_labeled_image_only,cuda,medium,18,10,9,0.9,0.5,0.4444444444444444,0.6396021490668313
OpenGVLab/InternVL3-8B,combined_labeled_image_only,python,easy,901,447,304,0.680089485458613,0.3374028856825749,0.5038845726970034,0.38303536116667397
OpenGVLab/InternVL3-8B,combined_labeled_image_only,python,medium,20,4,2,0.5,0.1,0.8,0.0
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,cuda,easy,922,625,420,0.672,0.455531453362256,0.32212581344902386,0.36228131644569117
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,cuda,medium,18,16,12,0.75,0.6666666666666666,0.1111111111111111,0.6507913734559686
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,python,easy,901,682,444,0.6510263929618768,0.49278579356270813,0.24306326304106549,0.305508192132079
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,python,medium,20,11,9,0.8181818181818182,0.45,0.45,0.5378528742004771
OpenGVLab/InternVL3-8B,image_only,cuda,easy,922,245,137,0.5591836734693878,0.14859002169197397,0.7342733188720173,0.10694091875861211
OpenGVLab/InternVL3-8B,image_only,cuda,medium,18,3,1,0.3333333333333333,0.05555555555555555,0.8333333333333334,-0.8660254037844387
OpenGVLab/InternVL3-8B,image_only,python,easy,901,300,111,0.37,0.12319644839067703,0.6670366259711432,-0.1588106963291901
OpenGVLab/InternVL3-8B,image_only,python,medium,20,8,3,0.375,0.15,0.6,-0.16903085094570333
OpenGVLab/InternVL3-8B,text_plus_image,cuda,easy,922,455,333,0.7318681318681318,0.3611713665943601,0.5065075921908894,0.4561896966996377
OpenGVLab/InternVL3-8B,text_plus_image,cuda,medium,18,11,9,0.8181818181818182,0.5,0.3888888888888889,0.692820323027551
OpenGVLab/InternVL3-8B,text_plus_image,python,easy,901,550,344,0.6254545454545455,0.38179800221975585,0.3895671476137625,0.2791922795268526
OpenGVLab/InternVL3-8B,text_plus_image,python,medium,20,10,6,0.6,0.3,0.5,0.497468338163091
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,cuda,easy,922,548,461,0.8412408759124088,0.5,0.40563991323210413,0.6618173766476452
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,cuda,medium,18,10,9,0.9,0.5,0.4444444444444444,0.5918640302493727
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,python,easy,901,620,487,0.785483870967742,0.5405105438401776,0.3118756936736959,0.5637167440871939
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,python,medium,20,17,13,0.7647058823529411,0.65,0.15,0.5367450401216933
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,cuda,easy,922,744,564,0.7580645161290323,0.6117136659436009,0.19305856832971802,0.5212284323353698
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,cuda,medium,18,14,12,0.8571428571428571,0.6666666666666666,0.2222222222222222,0.655612168542959
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,python,easy,901,683,510,0.746705710102489,0.5660377358490566,0.24195338512763595,0.47505252159809097
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,python,medium,20,16,14,0.875,0.7,0.2,0.642270714991117
Qwen/Qwen2.5-VL-7B-Instruct,image_only,cuda,easy,922,718,603,0.8398328690807799,0.6540130151843818,0.22125813449023862,0.6624212272523254
Qwen/Qwen2.5-VL-7B-Instruct,image_only,cuda,medium,18,10,8,0.8,0.4444444444444444,0.4444444444444444,0.6396021490668313
Qwen/Qwen2.5-VL-7B-Instruct,image_only,python,easy,901,501,419,0.8363273453093812,0.46503884572697,0.4439511653718091,0.6349423870813853
Qwen/Qwen2.5-VL-7B-Instruct,image_only,python,medium,20,17,15,0.8823529411764706,0.75,0.15,0.6099375455928333
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,cuda,easy,922,761,563,0.7398160315374507,0.6106290672451193,0.17462039045553146,0.4853637461655878
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,cuda,medium,18,13,10,0.7692307692307693,0.5555555555555556,0.2777777777777778,0.45363235436327737
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,python,easy,901,712,503,0.7064606741573034,0.55826859045505,0.2097669256381798,0.39878416437091146
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,python,medium,20,16,13,0.8125,0.65,0.2,0.5876093775450646
