model_key,model,pair_id,language,difficulty,abs_z_diff,human_delta,human_preference,valid,strict_choice,correct,model_sign,ab_correct,ba_correct,ab_first_choice,ba_first_choice,parse_failure_calls,margin_ab,margin_ba,position_margin_b,content_margin_c,debiased_choice,debiased_correct,complete_effective_logits,content_tie,boundary,bc_rule_evaluable,bc_valid_prediction,bc_rule_violation
qwen3,Qwen/Qwen3-VL-8B-Instruct,rq1_0000,java,easy,1.2114783358878012,-1.2114783358878012,rq0_0025,True,rq0_0025,True,-1.0,True,True,False,True,0,-12.5,12.5,0.0,-12.5,rq0_0025,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,rq1_0001,java,easy,1.567020890985308,1.567020890985308,rq0_0000,True,rq0_0000,True,1.0,True,True,True,False,0,6.0,-14.75,-4.375,10.375,rq0_0000,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,rq1_0002,java,easy,2.257351190861419,-2.257351190861419,rq0_0128,True,rq0_0000,False,1.0,False,False,True,False,0,0.75,-0.25,0.25,0.5,rq0_0000,False,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,rq1_0003,java,easy,1.2409688014370877,-1.2409688014370877,rq0_0166,True,rq0_0166,True,-1.0,True,True,False,True,0,-3.25,10.0,3.375,-6.625,rq0_0166,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,rq1_0004,java,easy,1.0075353107787306,-1.0075353107787306,rq0_0207,False,,False,,True,False,False,False,0,-1.0,-10.0,-5.5,4.5,rq0_0000,False,True,False,False,True,False,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,rq1_0005,java,easy,1.0075353107787306,-1.0075353107787306,rq0_0242,True,rq0_0242,True,-1.0,True,True,False,True,0,-14.25,11.75,-1.25,-13.0,rq0_0242,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,rq1_0006,java,easy,1.189042352812505,-1.189042352812505,rq0_0279,False,,False,,False,True,True,True,0,0.75,0.0,0.375,0.375,rq0_0000,False,True,False,True,False,False,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,rq1_0007,java,easy,1.7847129794108736,1.7847129794108736,rq0_0001,False,,False,,True,False,True,True,0,1.75,8.75,5.25,-3.5,rq0_0127,False,True,False,False,True,False,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,rq1_0008,java,easy,2.042667076721683,2.042667076721683,rq0_0001,True,rq0_0001,True,1.0,True,True,True,False,0,10.5,-8.25,1.125,9.375,rq0_0001,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,rq1_0009,java,easy,2.9133804128343064,2.9133804128343064,rq0_0001,True,rq0_0001,True,1.0,True,True,True,False,0,3.5,-12.75,-4.625,8.125,rq0_0001,True,True,False,False,True,True,False
