model,language,contrast_type,variant_i,variant_j,n_pairs,valid_pairs,invalid_pairs,target_selected_valid_pairs,parse_failure_pairs,valid_rate,target_preference_valid,target_preference_valid_wilson_low,target_preference_valid_wilson_high,effective_target_preference,strict_swap_error,strict_swap_wilson_low,strict_swap_wilson_high,binom_p_vs_0_5_valid,debiased_non_tie_pairs,debiased_target_pairs,debiased_target_preference,median_abs_content_signal,median_abs_position_bias,holm_p_within_family
Qwen/Qwen2.5-VL-7B-Instruct,cuda,semantic_and_visual_aligned,golden,beautiful_trash,100,93,7,93,0,0.93,1.0,0.960332497388265,1.0000000000000002,0.93,0.07,0.03431926106727268,0.137495147390735,2.0194839173657902e-28,100,100,1.0,3.0625,0.5625,1.0097419586828951e-27
Qwen/Qwen2.5-VL-7B-Instruct,cuda,semantic_and_visual_aligned,golden,ugly_trash,100,94,6,94,0,0.94,1.0,0.9607379237084551,0.9999999999999999,0.94,0.06,0.027786123963188192,0.1247681544589592,1.0097419586828951e-28,100,100,1.0,3.1875,0.5625,6.058451752097371e-28
Qwen/Qwen2.5-VL-7B-Instruct,cuda,semantic_only_under_ugly,ugly_gold,ugly_trash,100,92,8,92,0,0.92,1.0,0.9599186107143782,1.0,0.92,0.08,0.041093461484380624,0.14998107700948735,4.0389678347315804e-28,100,100,1.0,2.75,0.625,1.6155871338926322e-27
Qwen/Qwen2.5-VL-7B-Instruct,cuda,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,100,92,8,92,0,0.92,1.0,0.9599186107143782,1.0,0.92,0.08,0.041093461484380624,0.14998107700948735,4.0389678347315804e-28,100,100,1.0,2.6875,0.875,1.6155871338926322e-27
Qwen/Qwen2.5-VL-7B-Instruct,cuda,visual_only_gold,golden,ugly_gold,100,48,52,48,0,0.48,1.0,0.9258998703338824,0.9999999999999999,0.48,0.52,0.4231657776522397,0.615354482419481,7.105427357601002e-15,99,98,0.98989898989899,0.6875,0.6875,1.4210854715202004e-14
Qwen/Qwen2.5-VL-7B-Instruct,cuda,visual_only_trash,beautiful_trash,ugly_trash,100,5,95,5,0,0.05,1.0,0.5655175352168251,1.0,0.05,0.95,0.8882495307680808,0.9784563208456319,0.0625,98,96,0.9795918367346939,0.5,1.1875,0.0625
Qwen/Qwen2.5-VL-7B-Instruct,java,semantic_and_visual_aligned,golden,beautiful_trash,100,100,0,100,0,1.0,1.0,0.9630065017930143,1.0,1.0,0.0,3.469446951953614e-18,0.03699349820698568,1.5777218104420236e-30,100,100,1.0,3.9375,0.375,9.466330862652142e-30
Qwen/Qwen2.5-VL-7B-Instruct,java,semantic_and_visual_aligned,golden,ugly_trash,100,100,0,100,0,1.0,1.0,0.9630065017930143,1.0,1.0,0.0,3.469446951953614e-18,0.03699349820698568,1.5777218104420236e-30,100,100,1.0,4.0625,0.375,9.466330862652142e-30
Qwen/Qwen2.5-VL-7B-Instruct,java,semantic_only_under_ugly,ugly_gold,ugly_trash,100,100,0,100,0,1.0,1.0,0.9630065017930143,1.0,1.0,0.0,3.469446951953614e-18,0.03699349820698568,1.5777218104420236e-30,100,100,1.0,3.65625,0.375,9.466330862652142e-30
Qwen/Qwen2.5-VL-7B-Instruct,java,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,100,99,1,99,0,0.99,1.0,0.9626467879321726,1.0,0.99,0.01,0.0017674320641406505,0.054486196178705315,3.1554436208840472e-30,100,100,1.0,3.5,0.53125,9.466330862652142e-30
Qwen/Qwen2.5-VL-7B-Instruct,java,visual_only_gold,golden,ugly_gold,100,77,23,77,0,0.77,1.0,0.9524815747175658,0.9999999999999999,0.77,0.23,0.15843265880303448,0.3215438302287378,1.3234889800848443e-23,99,97,0.9797979797979798,0.8125,0.375,2.6469779601696886e-23
Qwen/Qwen2.5-VL-7B-Instruct,java,visual_only_trash,beautiful_trash,ugly_trash,100,13,87,13,0,0.13,1.0,0.7719046276458016,0.9999999999999999,0.13,0.87,0.7901964855992357,0.9224283257275948,0.000244140625,100,97,0.97,0.5,1.15625,0.000244140625
Qwen/Qwen2.5-VL-7B-Instruct,python,semantic_and_visual_aligned,golden,beautiful_trash,100,100,0,100,0,1.0,1.0,0.9630065017930143,1.0,1.0,0.0,3.469446951953614e-18,0.03699349820698568,1.5777218104420236e-30,100,100,1.0,3.6875,0.5,9.466330862652142e-30
Qwen/Qwen2.5-VL-7B-Instruct,python,semantic_and_visual_aligned,golden,ugly_trash,100,100,0,100,0,1.0,1.0,0.9630065017930143,1.0,1.0,0.0,3.469446951953614e-18,0.03699349820698568,1.5777218104420236e-30,100,100,1.0,3.875,0.375,9.466330862652142e-30
Qwen/Qwen2.5-VL-7B-Instruct,python,semantic_only_under_ugly,ugly_gold,ugly_trash,100,100,0,100,0,1.0,1.0,0.9630065017930143,1.0,1.0,0.0,3.469446951953614e-18,0.03699349820698568,1.5777218104420236e-30,100,100,1.0,3.3125,0.6875,9.466330862652142e-30
Qwen/Qwen2.5-VL-7B-Instruct,python,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,100,100,0,100,0,1.0,1.0,0.9630065017930143,1.0,1.0,0.0,3.469446951953614e-18,0.03699349820698568,1.5777218104420236e-30,100,100,1.0,3.25,0.8125,9.466330862652142e-30
Qwen/Qwen2.5-VL-7B-Instruct,python,visual_only_gold,golden,ugly_gold,100,73,27,73,0,0.73,1.0,0.9500079920442688,0.9999999999999998,0.73,0.27,0.1926958414957634,0.36432116767944994,2.117582368135751e-22,100,100,1.0,0.875,0.5625,4.235164736271502e-22
Qwen/Qwen2.5-VL-7B-Instruct,python,visual_only_trash,beautiful_trash,ugly_trash,100,6,94,6,0,0.06,1.0,0.6096657120978346,1.0,0.06,0.94,0.8752318455410406,0.9722138760368118,0.03125,99,99,1.0,0.5625,1.1875,0.03125
