model,language,condition,n_denominator,n_mismatch,flip_bothvalid
Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap60__lnon,492,2,0.0040650406504065045
Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap60__lnon,370,13,0.03513513513513514
Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs20__wrap60__lnon,307,2,0.006514657980456026
Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap80__lnon,514,1,0.0019455252918287938
Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap80__lnon,425,2,0.004705882352941176
Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs20__wrap80__lnon,338,1,0.0029585798816568047
Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap60__lnon,515,3,0.005825242718446602
Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap60__lnon,377,9,0.023872679045092837
Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs24__wrap60__lnon,320,5,0.015625
Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap80__lnon,554,4,0.007220216606498195
Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap80__lnon,442,5,0.011312217194570135
Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs24__wrap80__lnon,366,3,0.00819672131147541
Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap60__lnon,468,5,0.010683760683760684
Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap60__lnon,367,14,0.03814713896457766
Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs20__wrap60__lnon,320,3,0.009375
Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap80__lnon,491,0,0.0
Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap80__lnon,419,1,0.002386634844868735
Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs20__wrap80__lnon,336,1,0.002976190476190476
Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap60__lnon,502,6,0.01195219123505976
Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs24__wrap60__lnon,372,11,0.02956989247311828
Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs24__wrap60__lnon,293,2,0.006825938566552901
Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap80__lnon,557,3,0.005385996409335727
Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs24__wrap80__lnon,440,7,0.015909090909090907
Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs24__wrap80__lnon,358,3,0.008379888268156424
Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap60__lnon,509,4,0.007858546168958742
Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap60__lnon,405,10,0.024691358024691357
Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap60__lnon,340,4,0.011764705882352941
Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap60__lnon,534,5,0.009363295880149813
Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs24__wrap60__lnon,406,8,0.019704433497536946
Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs24__wrap60__lnon,320,3,0.009375
Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap80__lnon,575,3,0.0052173913043478265
Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs24__wrap80__lnon,461,12,0.026030368763557483
Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs24__wrap80__lnon,375,2,0.005333333333333333
OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,184,6,0.03260869565217391
OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap60__lnon,385,27,0.07012987012987013
OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap60__lnon,273,14,0.05128205128205128
OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap80__lnon,229,0,0.0
OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap80__lnon,537,6,0.0111731843575419
OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap80__lnon,342,5,0.014619883040935672
OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap60__lnon,207,7,0.033816425120772944
OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap60__lnon,408,28,0.06862745098039216
OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap60__lnon,280,10,0.03571428571428571
OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap80__lnon,232,1,0.004310344827586207
OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap80__lnon,545,5,0.009174311926605505
OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap80__lnon,332,3,0.009036144578313253
OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap60__lnon,191,6,0.031413612565445025
OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap60__lnon,373,31,0.08310991957104558
OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap60__lnon,276,10,0.036231884057971016
OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap80__lnon,230,4,0.017391304347826087
OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap80__lnon,552,11,0.019927536231884056
OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap80__lnon,340,5,0.014705882352941176
OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap60__lnon,203,7,0.034482758620689655
OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap60__lnon,396,31,0.07828282828282829
OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap60__lnon,297,10,0.03367003367003367
OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap80__lnon,209,0,0.0
OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap80__lnon,538,7,0.013011152416356878
OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap80__lnon,331,3,0.00906344410876133
OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap60__lnon,197,5,0.025380710659898477
OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap60__lnon,389,25,0.06426735218508997
OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap60__lnon,299,13,0.043478260869565216
OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap60__lnon,202,4,0.019801980198019802
OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap60__lnon,416,33,0.07932692307692307
OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap60__lnon,287,7,0.024390243902439025
OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap80__lnon,252,0,0.0
OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap80__lnon,562,2,0.0035587188612099642
OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap80__lnon,382,4,0.010471204188481676
