family,model,case,pairs,source_file,hard_swap_error,medium_swap_error,easy_swap_error,easy_minus_hard,expected_monotonic_hard_gt_medium_gt_easy
primary_clean_full3000,OpenGVLab/InternVL3-8B,combined_labeled_image_only,3000,experiments/rq0_viability/outputs/vlm_judges/full_factorial_clean_20260703/OpenGVLab__InternVL3-8B__combined_labeled_image_only__promptB__seed42.jsonl,0.59,0.617,0.595,0.0050000000000000044,False
primary_clean_full3000,OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,3000,experiments/rq0_viability/outputs/vlm_judges/full_factorial_clean_20260703/OpenGVLab__InternVL3-8B__combined_labeled_text_plus_image__promptB__seed42.jsonl,0.374,0.367,0.377,0.0030000000000000027,False
primary_clean_full3000,OpenGVLab/InternVL3-8B,image_only,3000,experiments/rq0_viability/outputs/vlm_judges/full_factorial_clean_20260703/OpenGVLab__InternVL3-8B__image_only__promptB__seed42.jsonl,0.523,0.576,0.545,0.02200000000000002,False
primary_clean_full3000,OpenGVLab/InternVL3-8B,text_plus_image,3000,experiments/rq0_viability/outputs/vlm_judges/full_factorial_clean_20260703/OpenGVLab__InternVL3-8B__text_plus_image__promptB__seed42.jsonl,0.29,0.294,0.275,-0.014999999999999958,False
primary_clean_full3000,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,3000,experiments/rq0_viability/outputs/vlm_judges/full_factorial_clean_20260703/Qwen__Qwen2.5-VL-7B-Instruct__combined_labeled_image_only__promptB__seed42.jsonl,0.51,0.545,0.487,-0.02300000000000002,False
primary_clean_full3000,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,3000,experiments/rq0_viability/outputs/vlm_judges/full_factorial_clean_20260703/Qwen__Qwen2.5-VL-7B-Instruct__combined_labeled_text_plus_image__promptB__seed42.jsonl,0.352,0.296,0.277,-0.07499999999999996,True
primary_clean_full3000,Qwen/Qwen2.5-VL-7B-Instruct,image_only,3000,experiments/rq0_viability/outputs/vlm_judges/full_factorial_clean_20260703/Qwen__Qwen2.5-VL-7B-Instruct__image_only__promptB__seed42.jsonl,0.39,0.385,0.358,-0.03200000000000003,True
primary_clean_full3000,Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,3000,experiments/rq0_viability/outputs/vlm_judges/full_factorial_clean_20260703/Qwen__Qwen2.5-VL-7B-Instruct__text_plus_image__promptB__seed42.jsonl,0.244,0.256,0.246,0.0020000000000000018,False
openai_standard_300,gpt-5.4-mini,image_only__none_mot24,300,results/openai_vlm_pilot_20260707/gpt-5.4-mini__pilot_raw.jsonl,0.23,0.3,0.18,-0.05000000000000002,False
openai_standard_300,gpt-5.4-mini,text_plus_image__none_mot24,300,results/openai_vlm_pilot_20260707/gpt-5.4-mini__pilot_raw.jsonl,0.43,0.46,0.45,0.020000000000000018,False
openai_standard_300,gpt-5.4-mini,combined_labeled_image_only__none_mot24,300,results/openai_vlm_pilot_20260707/gpt-5.4-mini__pilot_raw.jsonl,0.31,0.19,0.25,-0.06,False
openai_standard_300,gpt-5.4-mini,combined_labeled_text_plus_image__none_mot24,300,results/openai_vlm_pilot_20260707/gpt-5.4-mini__pilot_raw.jsonl,0.46,0.56,0.51,0.04999999999999999,False
openai_standard_300,gpt-5.4,image_only__none_mot24,300,results/openai_vlm_pilot_20260708/gpt-5.4__pilot_raw.jsonl,0.15,0.18,0.18,0.03,False
openai_standard_300,gpt-5.4,text_plus_image__none_mot24,300,results/openai_vlm_pilot_20260708/gpt-5.4__pilot_raw.jsonl,0.26,0.24,0.3,0.03999999999999998,False
openai_standard_300,gpt-5.4,combined_labeled_image_only__none_mot24,300,results/openai_vlm_pilot_20260708/gpt-5.4__pilot_raw.jsonl,0.12,0.13,0.16,0.04000000000000001,False
openai_standard_300,gpt-5.4,combined_labeled_text_plus_image__none_mot24,300,results/openai_vlm_pilot_20260708/gpt-5.4__pilot_raw.jsonl,0.25,0.2,0.21,-0.04000000000000001,False
openai_standard_300,gpt-5.5,image_only__low_mot256,300,results/openai_vlm_pilot_20260708_gpt55_fixed/gpt-5.5__pilot_raw.jsonl,0.22,0.16,0.18,-0.04000000000000001,False
openai_standard_300,gpt-5.5,text_plus_image__low_mot256,300,results/openai_vlm_pilot_20260708_gpt55_fixed/gpt-5.5__pilot_raw.jsonl,0.27,0.25,0.24,-0.030000000000000027,True
openai_standard_300,gpt-5.5,combined_labeled_image_only__low_mot256,300,results/openai_vlm_pilot_20260708_gpt55_fixed/gpt-5.5__pilot_raw.jsonl,0.22,0.2,0.27,0.05000000000000002,False
openai_standard_300,gpt-5.5,combined_labeled_text_plus_image__low_mot256,300,results/openai_vlm_pilot_20260708_gpt55_fixed/gpt-5.5__pilot_raw.jsonl,0.2,0.25,0.17,-0.03,False
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_high__mot256,90,results/gpt54_reasoning_budget_pilot_90_20260709/gpt-5.4-2026-03-05__reasoning_high__mot_256_raw.jsonl,0.8333333333333334,0.7666666666666667,0.7666666666666667,-0.06666666666666665,False
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_high__mot256,90,results/gpt54_reasoning_budget_pilot_90_20260709/gpt-5.4-2026-03-05__reasoning_high__mot_256_raw.jsonl,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.0,False
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_high__mot4096,300,results/gpt54_reasoning_budget_pilot_90_20260709/gpt-5.4-2026-03-05__reasoning_high__mot_4096_raw.jsonl,0.12,0.07,0.15,0.03,False
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_high__mot4096,300,results/gpt54_reasoning_budget_pilot_90_20260709/gpt-5.4-2026-03-05__reasoning_high__mot_4096_raw.jsonl,0.31,0.27,0.29,-0.020000000000000018,False
