model_key,model,pair_id,language,difficulty,snippet_i,snippet_j,abs_b,abs_c,valid,correct,content_tie,boundary_abs_c_eq_abs_b,identity_predicted_valid,identity_violation_nonboundary,identity_mismatch_conservative_boundary_included
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0000,java,easy,rq0_0000,rq0_0025,0.375,1.75,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0001,java,easy,rq0_0000,rq0_0033,0.6875,0.5625,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0002,java,easy,rq0_0000,rq0_0128,0.875,0.375,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0003,java,easy,rq0_0000,rq0_0166,0.75,1.125,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0004,java,easy,rq0_0000,rq0_0207,1.0625,0.1875,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0005,java,easy,rq0_0000,rq0_0242,0.8125,0.6875,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0006,java,easy,rq0_0000,rq0_0279,0.9375,0.4375,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0007,java,easy,rq0_0001,rq0_0127,0.375,0.625,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0008,java,easy,rq0_0001,rq0_0153,0.0625,0.3125,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0009,java,easy,rq0_0001,rq0_0211,0.75,1.0,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0010,java,easy,rq0_0001,rq0_0276,0.625,0.5,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0011,java,easy,rq0_0001,rq0_0311,1.0625,1.1875,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0012,java,easy,rq0_0002,rq0_0082,0.9375,0.8125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0013,java,easy,rq0_0002,rq0_0107,0.875,1.0,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0014,java,easy,rq0_0002,rq0_0134,1.125,0.625,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0015,java,easy,rq0_0002,rq0_0216,1.3125,1.3125,True,True,False,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0016,java,easy,rq0_0002,rq0_0255,1.4375,1.0625,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0017,java,easy,rq0_0002,rq0_0282,1.0625,0.8125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0018,java,easy,rq0_0003,rq0_0077,0.875,0.5,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0019,java,easy,rq0_0003,rq0_0111,0.25,0.25,True,False,False,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0020,java,easy,rq0_0003,rq0_0269,1.0625,1.3125,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0021,java,easy,rq0_0004,rq0_0077,0.25,1.5,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0022,java,easy,rq0_0004,rq0_0085,0.125,1.5,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0023,java,easy,rq0_0004,rq0_0088,0.0,0.625,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0024,java,easy,rq0_0004,rq0_0129,0.1875,1.5625,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0025,java,easy,rq0_0004,rq0_0162,0.125,0.625,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0026,java,easy,rq0_0004,rq0_0299,0.5625,0.9375,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0027,java,easy,rq0_0005,rq0_0022,0.9375,0.8125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0028,java,easy,rq0_0005,rq0_0042,0.75,1.0,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0029,java,easy,rq0_0005,rq0_0049,0.375,1.75,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0030,java,easy,rq0_0005,rq0_0080,0.25,1.25,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0031,java,easy,rq0_0005,rq0_0113,1.125,2.25,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0032,java,easy,rq0_0005,rq0_0130,1.1875,2.0625,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0033,java,easy,rq0_0005,rq0_0136,1.4375,1.3125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0034,java,easy,rq0_0005,rq0_0160,0.6875,1.4375,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0035,java,easy,rq0_0005,rq0_0204,1.875,1.0,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0036,java,easy,rq0_0005,rq0_0216,1.9375,0.9375,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0037,java,easy,rq0_0005,rq0_0246,1.3125,1.6875,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0038,java,easy,rq0_0005,rq0_0300,1.8125,0.8125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0039,java,easy,rq0_0006,rq0_0020,1.1875,0.3125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0040,java,easy,rq0_0006,rq0_0039,1.4375,0.6875,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0041,java,easy,rq0_0006,rq0_0075,1.75,0.625,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0042,java,easy,rq0_0006,rq0_0120,1.3125,0.0625,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0043,java,easy,rq0_0007,rq0_0078,0.375,1.125,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0044,java,easy,rq0_0007,rq0_0227,0.3125,1.1875,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0045,java,easy,rq0_0007,rq0_0255,1.0,0.375,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0046,java,easy,rq0_0008,rq0_0026,0.4375,0.1875,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0047,java,easy,rq0_0008,rq0_0035,0.125,0.125,True,True,False,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0048,java,easy,rq0_0008,rq0_0061,0.125,0.25,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0049,java,easy,rq0_0008,rq0_0100,0.1875,0.3125,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0050,java,easy,rq0_0008,rq0_0139,0.1875,0.4375,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0051,java,easy,rq0_0008,rq0_0237,0.0625,0.5625,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0052,java,easy,rq0_0008,rq0_0278,0.0625,0.4375,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0053,java,easy,rq0_0008,rq0_0295,0.0625,0.3125,True,False,False,False,True,False,False
