model_key,model,concurrency_group,pair_id,language,difficulty,abs_z_diff,human_delta,valid,correct,model_sign,ab_correct,ba_correct,margin_ab,margin_ba,content_margin,position_margin,debiased_correct,content_tie,ab_first_choice,ba_first_choice,snippet_i,snippet_j,snippet_i_key,snippet_j_key,abs_c,abs_b,decile
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0000,java,easy,1.2114783358878012,-1.2114783358878012,True,True,-1.0,True,True,-2.125,1.375,-1.75,-0.375,True,False,False,True,rq0_0000,rq0_0025,java::rq0_0000,java::rq0_0025,1.75,0.375,10
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0001,java,easy,1.567020890985308,1.567020890985308,False,False,,False,True,-1.25,-0.125,-0.5625,-0.6875,False,False,False,False,rq0_0000,rq0_0033,java::rq0_0000,java::rq0_0033,0.5625,0.6875,5
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0002,java,easy,2.257351190861419,-2.257351190861419,False,False,,True,False,-1.25,-0.5,-0.375,-0.875,True,False,False,False,rq0_0000,rq0_0128,java::rq0_0000,java::rq0_0128,0.375,0.875,3
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0003,java,easy,1.2409688014370877,-1.2409688014370877,True,True,-1.0,True,True,-1.875,0.375,-1.125,-0.75,True,False,False,True,rq0_0000,rq0_0166,java::rq0_0000,java::rq0_0166,1.125,0.75,8
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0004,java,easy,1.0075353107787306,-1.0075353107787306,False,False,,True,False,-1.25,-0.875,-0.1875,-1.0625,True,False,False,False,rq0_0000,rq0_0207,java::rq0_0000,java::rq0_0207,0.1875,1.0625,2
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0005,java,easy,1.0075353107787306,-1.0075353107787306,False,False,,True,False,-1.5,-0.125,-0.6875,-0.8125,True,False,False,False,rq0_0000,rq0_0242,java::rq0_0000,java::rq0_0242,0.6875,0.8125,5
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0006,java,easy,1.189042352812505,-1.189042352812505,False,False,,True,False,-1.375,-0.5,-0.4375,-0.9375,True,False,False,False,rq0_0000,rq0_0279,java::rq0_0000,java::rq0_0279,0.4375,0.9375,4
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0007,java,easy,1.7847129794108736,1.7847129794108736,True,False,-1.0,False,False,-1.0,0.25,-0.625,-0.375,False,False,False,True,rq0_0001,rq0_0127,java::rq0_0001,java::rq0_0127,0.625,0.375,5
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0008,java,easy,2.042667076721683,2.042667076721683,True,False,-1.0,False,False,-0.375,0.25,-0.3125,-0.0625,False,False,False,True,rq0_0001,rq0_0153,java::rq0_0001,java::rq0_0153,0.3125,0.0625,3
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0009,java,easy,2.9133804128343064,2.9133804128343064,True,True,1.0,True,True,0.25,-1.75,1.0,-0.75,True,False,True,False,rq0_0001,rq0_0211,java::rq0_0001,java::rq0_0211,1.0,0.75,7
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0010,java,easy,2.005845202665431,2.005845202665431,False,False,,False,True,-0.125,-1.125,0.5,-0.625,True,False,False,False,rq0_0001,rq0_0276,java::rq0_0001,java::rq0_0276,0.5,0.625,4
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0011,java,easy,1.824338160631656,1.824338160631656,True,True,1.0,True,True,0.125,-2.25,1.1875,-1.0625,True,False,True,False,rq0_0001,rq0_0311,java::rq0_0001,java::rq0_0311,1.1875,1.0625,8
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0012,java,easy,1.98840465998976,-1.98840465998976,False,False,,True,False,-1.75,-0.125,-0.8125,-0.9375,True,False,False,False,rq0_0002,rq0_0082,java::rq0_0002,java::rq0_0082,0.8125,0.9375,6
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0013,java,easy,1.2212032031762807,-1.2212032031762807,True,True,-1.0,True,True,-1.875,0.125,-1.0,-0.875,True,False,False,True,rq0_0002,rq0_0107,java::rq0_0002,java::rq0_0107,1.0,0.875,7
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0014,java,easy,1.0382703692237147,-1.0382703692237147,False,False,,True,False,-1.75,-0.5,-0.625,-1.125,True,False,False,False,rq0_0002,rq0_0134,java::rq0_0002,java::rq0_0134,0.625,1.125,5
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0015,java,easy,1.4815920509087397,-1.4815920509087397,True,True,-1.0,True,True,-2.625,0.0,-1.3125,-1.3125,True,False,False,True,rq0_0002,rq0_0216,java::rq0_0002,java::rq0_0216,1.3125,1.3125,9
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0016,java,easy,1.3000850088749645,-1.3000850088749645,False,False,,True,False,-2.5,-0.375,-1.0625,-1.4375,True,False,False,False,rq0_0002,rq0_0255,java::rq0_0002,java::rq0_0255,1.0625,1.4375,7
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0017,java,easy,2.9336483871789394,-2.9336483871789394,False,False,,True,False,-1.875,-0.25,-0.8125,-1.0625,True,False,False,False,rq0_0002,rq0_0282,java::rq0_0002,java::rq0_0282,0.8125,1.0625,6
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0018,java,easy,1.092964150855298,1.092964150855298,False,False,,False,True,-0.375,-1.375,0.5,-0.875,True,False,False,False,rq0_0003,rq0_0077,java::rq0_0003,java::rq0_0077,0.5,0.875,4
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0019,java,easy,4.139530253932445,4.139530253932445,True,False,-1.0,False,False,-0.5,0.0,-0.25,-0.25,False,False,False,True,rq0_0003,rq0_0111,java::rq0_0003,java::rq0_0111,0.25,0.25,2
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0020,java,easy,1.3776914478114004,1.3776914478114004,True,True,1.0,True,True,0.25,-2.375,1.3125,-1.0625,True,False,True,False,rq0_0003,rq0_0269,java::rq0_0003,java::rq0_0269,1.3125,1.0625,9
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0021,java,easy,1.3431607637016914,1.3431607637016914,True,True,1.0,True,True,1.25,-1.75,1.5,-0.25,True,False,True,False,rq0_0004,rq0_0077,java::rq0_0004,java::rq0_0077,1.5,0.25,9
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0022,java,easy,2.0937506022408723,2.0937506022408723,True,True,1.0,True,True,1.375,-1.625,1.5,-0.125,True,False,True,False,rq0_0004,rq0_0085,java::rq0_0004,java::rq0_0085,1.5,0.125,9
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0023,java,easy,1.3299925209203027,1.3299925209203027,True,True,1.0,True,True,0.625,-0.625,0.625,0.0,True,False,True,False,rq0_0004,rq0_0088,java::rq0_0004,java::rq0_0088,0.625,0.0,5
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0024,java,easy,1.3041732782467568,1.3041732782467568,True,True,1.0,True,True,1.375,-1.75,1.5625,-0.1875,True,False,True,False,rq0_0004,rq0_0129,java::rq0_0004,java::rq0_0129,1.5625,0.1875,9
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0025,java,easy,1.6049941108864003,1.6049941108864003,True,True,1.0,True,True,0.75,-0.5,0.625,0.125,True,False,True,False,rq0_0004,rq0_0162,java::rq0_0004,java::rq0_0162,0.625,0.125,5
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0026,java,easy,1.0833669345564694,1.0833669345564694,True,True,1.0,True,True,0.375,-1.5,0.9375,-0.5625,True,False,True,False,rq0_0004,rq0_0299,java::rq0_0004,java::rq0_0299,0.9375,0.5625,7
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0027,java,easy,2.054245873896706,-2.054245873896706,False,False,,True,False,-1.75,-0.125,-0.8125,-0.9375,True,False,False,False,rq0_0005,rq0_0022,java::rq0_0005,java::rq0_0022,0.8125,0.9375,6
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0028,java,easy,3.0023593541567246,-3.0023593541567246,True,True,-1.0,True,True,-1.75,0.25,-1.0,-0.75,True,False,False,True,rq0_0005,rq0_0042,java::rq0_0005,java::rq0_0042,1.0,0.75,7
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0029,java,easy,2.752162741310328,-2.752162741310328,True,True,-1.0,True,True,-2.125,1.375,-1.75,-0.375,True,False,False,True,rq0_0005,rq0_0049,java::rq0_0005,java::rq0_0049,1.75,0.375,10
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0030,java,easy,2.8838451691242213,-2.8838451691242213,True,True,-1.0,True,True,-1.5,1.0,-1.25,-0.25,True,False,False,True,rq0_0005,rq0_0080,java::rq0_0005,java::rq0_0080,1.25,0.25,8
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0031,java,easy,1.3586113334790018,-1.3586113334790018,True,True,-1.0,True,True,-3.375,1.125,-2.25,-1.125,True,False,False,True,rq0_0005,rq0_0113,java::rq0_0005,java::rq0_0113,2.25,1.125,10
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0032,java,easy,1.130343973761082,-1.130343973761082,True,True,-1.0,True,True,-3.25,0.875,-2.0625,-1.1875,True,False,False,True,rq0_0005,rq0_0130,java::rq0_0005,java::rq0_0130,2.0625,1.1875,10
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0033,java,easy,1.9690601022268817,-1.9690601022268817,False,False,,True,False,-2.75,-0.125,-1.3125,-1.4375,True,False,False,False,rq0_0005,rq0_0136,java::rq0_0005,java::rq0_0136,1.3125,1.4375,9
