model,model_revision,language,base_id,rq0_id,score_stratum,contrast_type,variant_i,variant_j,preference_target_variant,contrast_id,ab_choice,ba_choice,strict_valid,target_selected,parse_failure,margin_ab,margin_ba,content_signal_c,position_bias_b,target_content_signal,debiased_target_selected,debiased_tie
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_000,dorn_cuda_108,low,visual_only_gold,golden,ugly_gold,golden,rq3g_cuda_000__c1,ugly_gold,golden,False,False,False,-1.25,-2.25,0.5,-1.75,0.5,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_000,dorn_cuda_108,low,semantic_and_visual_aligned,golden,beautiful_trash,golden,rq3g_cuda_000__c2,golden,golden,True,True,False,2.375,-4.0,3.1875,-0.8125,3.1875,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_000,dorn_cuda_108,low,semantic_and_visual_aligned,golden,ugly_trash,golden,rq3g_cuda_000__c3,golden,golden,True,True,False,2.375,-3.625,3.0,-0.625,3.0,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_000,dorn_cuda_108,low,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,ugly_gold,rq3g_cuda_000__c4,ugly_gold,ugly_gold,True,True,False,1.875,-3.625,2.75,-0.875,2.75,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_000,dorn_cuda_108,low,semantic_only_under_ugly,ugly_gold,ugly_trash,ugly_gold,rq3g_cuda_000__c5,ugly_gold,ugly_gold,True,True,False,2.25,-3.125,2.6875,-0.4375,2.6875,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_000,dorn_cuda_108,low,visual_only_trash,beautiful_trash,ugly_trash,beautiful_trash,rq3g_cuda_000__c6,ugly_trash,beautiful_trash,False,False,False,-0.875,-1.5,0.3125,-1.1875,0.3125,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_001,dorn_cuda_069,low,visual_only_gold,golden,ugly_gold,golden,rq3g_cuda_001__c1,ugly_gold,golden,False,False,False,-1.375,-3.125,0.875,-2.25,0.875,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_001,dorn_cuda_069,low,semantic_and_visual_aligned,golden,beautiful_trash,golden,rq3g_cuda_001__c2,golden,golden,True,True,False,0.125,-2.875,1.5,-1.375,1.5,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_001,dorn_cuda_069,low,semantic_and_visual_aligned,golden,ugly_trash,golden,rq3g_cuda_001__c3,golden,golden,True,True,False,0.375,-3.0,1.6875,-1.3125,1.6875,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_001,dorn_cuda_069,low,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,ugly_gold,rq3g_cuda_001__c4,beautiful_trash,ugly_gold,False,False,False,-1.5,-3.0,0.75,-2.25,0.75,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_001,dorn_cuda_069,low,semantic_only_under_ugly,ugly_gold,ugly_trash,ugly_gold,rq3g_cuda_001__c5,ugly_trash,ugly_gold,False,False,False,-0.625,-3.125,1.25,-1.875,1.25,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_001,dorn_cuda_069,low,visual_only_trash,beautiful_trash,ugly_trash,beautiful_trash,rq3g_cuda_001__c6,ugly_trash,beautiful_trash,False,False,False,-0.625,-1.75,0.5625,-1.1875,0.5625,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_002,dorn_cuda_078,low,visual_only_gold,golden,ugly_gold,golden,rq3g_cuda_002__c1,ugly_gold,golden,False,False,False,-0.375,-1.375,0.5,-0.875,0.5,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_002,dorn_cuda_078,low,semantic_and_visual_aligned,golden,beautiful_trash,golden,rq3g_cuda_002__c2,golden,golden,True,True,False,2.625,-4.125,3.375,-0.75,3.375,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_002,dorn_cuda_078,low,semantic_and_visual_aligned,golden,ugly_trash,golden,rq3g_cuda_002__c3,golden,golden,True,True,False,2.875,-3.5,3.1875,-0.3125,3.1875,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_002,dorn_cuda_078,low,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,ugly_gold,rq3g_cuda_002__c4,ugly_gold,ugly_gold,True,True,False,1.875,-4.0,2.9375,-1.0625,2.9375,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_002,dorn_cuda_078,low,semantic_only_under_ugly,ugly_gold,ugly_trash,ugly_gold,rq3g_cuda_002__c5,ugly_gold,ugly_gold,True,True,False,1.75,-3.625,2.6875,-0.9375,2.6875,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_002,dorn_cuda_078,low,visual_only_trash,beautiful_trash,ugly_trash,beautiful_trash,rq3g_cuda_002__c6,ugly_trash,beautiful_trash,False,False,False,-1.0,-1.75,0.375,-1.375,0.375,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_003,dorn_cuda_016,low,visual_only_gold,golden,ugly_gold,golden,rq3g_cuda_003__c1,ugly_gold,golden,False,False,False,-1.5,-2.5,0.5,-2.0,0.5,True,False
