model_key,model_name,pair_id,language,difficulty,snippet_x_id,snippet_y_id,human_preference,ab_verdict,ba_verdict,ab_choice,ba_choice,ab_parse_fail,ba_parse_fail,is_valid_strict_swap,is_correct_and_valid
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0072__rq0_0291,java,easy,rq0_0072,rq0_0291,rq0_0072,A,B,rq0_0072,rq0_0072,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0086__rq0_0255,java,hard,rq0_0086,rq0_0255,rq0_0255,A,B,rq0_0086,rq0_0086,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0060__rq0_0168,java,medium,rq0_0060,rq0_0168,rq0_0168,B,A,rq0_0168,rq0_0168,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0217__rq0_0286,java,medium,rq0_0217,rq0_0286,rq0_0286,B,B,rq0_0286,rq0_0217,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0027__rq0_0032,java,medium,rq0_0027,rq0_0032,rq0_0032,B,A,rq0_0032,rq0_0032,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0013__rq0_0052,java,easy,rq0_0013,rq0_0052,rq0_0052,A,A,rq0_0013,rq0_0052,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0179__rq0_0263,java,hard,rq0_0179,rq0_0263,rq0_0179,A,B,rq0_0179,rq0_0179,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0007__rq0_0127,java,hard,rq0_0007,rq0_0127,rq0_0007,B,A,rq0_0127,rq0_0127,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0005__rq0_0022,java,easy,rq0_0005,rq0_0022,rq0_0022,B,A,rq0_0022,rq0_0022,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0080__rq0_0156,java,medium,rq0_0080,rq0_0156,rq0_0080,A,B,rq0_0080,rq0_0080,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0089__rq0_0232,java,medium,rq0_0089,rq0_0232,rq0_0232,B,A,rq0_0232,rq0_0232,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0021__rq0_0264,java,medium,rq0_0021,rq0_0264,rq0_0021,A,B,rq0_0021,rq0_0021,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0145__rq0_0240,java,easy,rq0_0145,rq0_0240,rq0_0240,A,B,rq0_0145,rq0_0145,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0154__rq0_0297,java,hard,rq0_0154,rq0_0297,rq0_0154,A,A,rq0_0154,rq0_0297,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0227__rq0_0262,java,easy,rq0_0227,rq0_0262,rq0_0227,A,B,rq0_0227,rq0_0227,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0080__rq0_0091,java,easy,rq0_0080,rq0_0091,rq0_0080,A,B,rq0_0080,rq0_0080,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0017__rq0_0169,java,hard,rq0_0017,rq0_0169,rq0_0017,A,A,rq0_0017,rq0_0169,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0019__rq0_0123,java,medium,rq0_0019,rq0_0123,rq0_0019,A,A,rq0_0019,rq0_0123,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0140__rq0_0276,java,easy,rq0_0140,rq0_0276,rq0_0140,B,B,rq0_0276,rq0_0140,False,False,False,False
