model,language,contrast_type,variant_i,variant_j,n_pairs,valid_pairs,invalid_pairs,target_selected_valid_pairs,parse_failure_pairs,valid_rate,target_preference_valid,target_preference_valid_wilson_low,target_preference_valid_wilson_high,effective_target_preference,strict_swap_error,strict_swap_wilson_low,strict_swap_wilson_high,binom_p_vs_0_5_valid,debiased_non_tie_pairs,debiased_target_pairs,debiased_target_preference,median_abs_content_signal,median_abs_position_bias,holm_p_within_family
OpenGVLab/InternVL3-8B,cuda,semantic_and_visual_aligned,golden,beautiful_trash,100,80,20,80,0,0.8,1.0,0.9541818704644728,0.9999999999999999,0.8,0.2,0.1333669333310325,0.2888291655931589,1.6543612251060553e-24,100,98,0.98,1.625,0.875,6.617444900424222e-24
OpenGVLab/InternVL3-8B,cuda,semantic_and_visual_aligned,golden,ugly_trash,100,97,3,97,0,0.97,1.0,0.9619059574740523,1.0,0.97,0.03,0.010254524024038925,0.0845193642905276,1.262177448353619e-29,100,98,0.98,2.65625,0.75,7.573064690121713e-29
OpenGVLab/InternVL3-8B,cuda,semantic_only_under_ugly,ugly_gold,ugly_trash,100,97,3,96,0,0.97,0.9896907216494846,0.943895009757101,0.9981778351917131,0.96,0.03,0.010254524024038925,0.0845193642905276,1.2369338993865465e-27,100,99,0.99,2.5,0.65625,6.1846694969327326e-27
OpenGVLab/InternVL3-8B,cuda,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,100,66,34,66,0,0.66,1.0,0.9449974429864586,0.9999999999999999,0.66,0.34,0.25461520797348164,0.43722271145275377,2.710505431213761e-20,98,96,0.9795918367346939,1.3125,0.8125,8.131516293641283e-20
OpenGVLab/InternVL3-8B,cuda,visual_only_gold,golden,ugly_gold,100,45,55,43,0,0.45,0.9555555555555556,0.8517248923056439,0.9877258732932802,0.43,0.55,0.45244602997442135,0.6438546202048803,5.88897819397971e-11,96,87,0.90625,0.375,0.375,5.88897819397971e-11
OpenGVLab/InternVL3-8B,cuda,visual_only_trash,beautiful_trash,ugly_trash,100,71,29,68,0,0.71,0.9577464788732394,0.882975839595153,0.9855267393795246,0.68,0.29,0.2101483574912227,0.3853889117557111,5.057803134644878e-17,99,91,0.9191919191919192,0.6875,0.3125,1.0115606269289756e-16
OpenGVLab/InternVL3-8B,java,semantic_and_visual_aligned,golden,beautiful_trash,100,97,3,97,0,0.97,1.0,0.9619059574740523,1.0,0.97,0.03,0.010254524024038925,0.0845193642905276,1.262177448353619e-29,100,100,1.0,2.25,0.53125,5.048709793414476e-29
OpenGVLab/InternVL3-8B,java,semantic_and_visual_aligned,golden,ugly_trash,100,100,0,100,0,1.0,1.0,0.9630065017930143,1.0,1.0,0.0,3.469446951953614e-18,0.03699349820698568,1.5777218104420236e-30,100,100,1.0,3.3125,0.5625,9.466330862652142e-30
OpenGVLab/InternVL3-8B,java,semantic_only_under_ugly,ugly_gold,ugly_trash,100,99,1,99,0,0.99,1.0,0.9626467879321726,1.0,0.99,0.01,0.0017674320641406505,0.054486196178705315,3.1554436208840472e-30,100,100,1.0,2.6875,0.5,1.5777218104420236e-29
OpenGVLab/InternVL3-8B,java,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,100,91,9,89,0,0.91,0.978021978021978,0.9233683539751506,0.9939519939170188,0.89,0.09,0.04807254000256516,0.1622621285271631,3.3822316648042255e-24,100,97,0.97,1.71875,0.5,1.0146694994412676e-23
OpenGVLab/InternVL3-8B,java,visual_only_gold,golden,ugly_gold,100,67,33,63,0,0.67,0.9402985074626866,0.8563049895862846,0.9765406488601809,0.63,0.33,0.24563122734128034,0.4269465620490947,1.1067861037383775e-14,100,81,0.81,0.5,0.375,2.213572207476755e-14
OpenGVLab/InternVL3-8B,java,visual_only_trash,beautiful_trash,ugly_trash,100,44,56,43,0,0.44,0.9772727272727273,0.8819229030178671,0.9959767479399467,0.43,0.56,0.4622810465167699,0.6532797336983921,5.115907697472721e-12,99,92,0.9292929292929293,0.6875,0.90625,5.115907697472721e-12
OpenGVLab/InternVL3-8B,python,semantic_and_visual_aligned,golden,beautiful_trash,100,98,2,98,0,0.98,1.0,0.9622800098783192,0.9999999999999999,0.98,0.02,0.00550196755016235,0.07001179072854388,6.310887241768095e-30,100,100,1.0,2.1875,0.875,3.155443620884047e-29
OpenGVLab/InternVL3-8B,python,semantic_and_visual_aligned,golden,ugly_trash,100,100,0,100,0,1.0,1.0,0.9630065017930143,1.0,1.0,0.0,3.469446951953614e-18,0.03699349820698568,1.5777218104420236e-30,100,100,1.0,3.3125,0.5625,9.466330862652142e-30
OpenGVLab/InternVL3-8B,python,semantic_only_under_ugly,ugly_gold,ugly_trash,100,98,2,98,0,0.98,1.0,0.9622800098783192,0.9999999999999999,0.98,0.02,0.00550196755016235,0.07001179072854388,6.310887241768095e-30,100,100,1.0,3.0,0.625,3.155443620884047e-29
OpenGVLab/InternVL3-8B,python,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,100,91,9,91,0,0.91,1.0,0.9594959960711198,1.0,0.91,0.09,0.04807254000256516,0.1622621285271631,8.077935669463161e-28,100,100,1.0,1.6875,0.75,2.4233807008389483e-27
OpenGVLab/InternVL3-8B,python,visual_only_gold,golden,ugly_gold,100,69,31,66,0,0.69,0.9565217391304348,0.8797879725062087,0.9851040961037877,0.66,0.31,0.22779697212376038,0.40626055719489407,1.857035033560328e-16,98,89,0.9081632653061225,0.5625,0.375,3.714070067120656e-16
OpenGVLab/InternVL3-8B,python,visual_only_trash,beautiful_trash,ugly_trash,100,75,25,70,0,0.75,0.9333333333333333,0.8532493994143954,0.9711899371005063,0.7,0.25,0.17545211362287672,0.34304463548061603,9.817755603717254e-16,98,91,0.9285714285714286,0.9375,0.625,9.817755603717254e-16
Qwen/Qwen2.5-VL-7B-Instruct,cuda,semantic_and_visual_aligned,golden,beautiful_trash,100,96,4,96,0,0.96,1.0,0.9615244121423243,1.0,0.96,0.04,0.01566330399154762,0.0983707143588792,2.524354896707238e-29,100,100,1.0,2.9375,0.4375,1.5146129380243427e-28
Qwen/Qwen2.5-VL-7B-Instruct,cuda,semantic_and_visual_aligned,golden,ugly_trash,100,94,6,94,0,0.94,1.0,0.9607379237084551,0.9999999999999999,0.94,0.06,0.027786123963188192,0.1247681544589592,1.0097419586828951e-28,100,100,1.0,3.1875,0.53125,5.048709793414476e-28
Qwen/Qwen2.5-VL-7B-Instruct,cuda,semantic_only_under_ugly,ugly_gold,ugly_trash,100,89,11,89,0,0.89,1.0,0.9586234547637477,1.0000000000000002,0.89,0.11,0.06254196357064568,0.18631296503080313,3.2311742677852644e-27,100,100,1.0,2.75,1.0625,1.2924697071141057e-26
Qwen/Qwen2.5-VL-7B-Instruct,cuda,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,100,89,11,89,0,0.89,1.0,0.9586234547637477,1.0000000000000002,0.89,0.11,0.06254196357064568,0.18631296503080313,3.2311742677852644e-27,100,100,1.0,2.6875,1.0,1.2924697071141057e-26
Qwen/Qwen2.5-VL-7B-Instruct,cuda,visual_only_gold,golden,ugly_gold,100,38,62,38,0,0.38,1.0,0.908190131774416,0.9999999999999999,0.38,0.62,0.5220975529551107,0.7090240074752127,7.275957614183426e-12,100,95,0.95,0.625,0.8125,1.4551915228366852e-11
Qwen/Qwen2.5-VL-7B-Instruct,cuda,visual_only_trash,beautiful_trash,ugly_trash,100,5,95,5,0,0.05,1.0,0.5655175352168251,1.0,0.05,0.95,0.8882495307680808,0.9784563208456319,0.0625,99,94,0.9494949494949495,0.625,1.8125,0.0625
Qwen/Qwen2.5-VL-7B-Instruct,java,semantic_and_visual_aligned,golden,beautiful_trash,100,99,1,99,0,0.99,1.0,0.9626467879321726,1.0,0.99,0.01,0.0017674320641406505,0.054486196178705315,3.1554436208840472e-30,100,100,1.0,3.8125,0.4375,1.8932661725304283e-29
Qwen/Qwen2.5-VL-7B-Instruct,java,semantic_and_visual_aligned,golden,ugly_trash,100,99,1,99,0,0.99,1.0,0.9626467879321726,1.0,0.99,0.01,0.0017674320641406505,0.054486196178705315,3.1554436208840472e-30,100,100,1.0,3.875,0.4375,1.8932661725304283e-29
Qwen/Qwen2.5-VL-7B-Instruct,java,semantic_only_under_ugly,ugly_gold,ugly_trash,100,96,4,96,0,0.96,1.0,0.9615244121423243,1.0,0.96,0.04,0.01566330399154762,0.0983707143588792,2.524354896707238e-29,100,100,1.0,3.65625,0.75,1.0097419586828951e-28
