system,language,pair_id,difficulty,abs_z_diff,snippet_i,snippet_j,human_preference,selected_AB,selected_BA,parsed_choice_AB,parsed_choice_BA,margin_AB,margin_BA,valid,valid_correct,c,b,tie_c,boundary,d_selected,d_correct,ab_correct,ocr_correct
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00000,easy,2.612485801376247,dorn_cuda_032,dorn_cuda_065,dorn_cuda_065,dorn_cuda_065,dorn_cuda_065,B,A,-0.875,0.125,True,True,-0.5,-0.375,False,False,dorn_cuda_065,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00001,easy,1.727290025762824,dorn_cuda_031,dorn_cuda_081,dorn_cuda_031,dorn_cuda_031,dorn_cuda_031,A,B,1.0,-2.0,True,True,1.5,-0.5,False,False,dorn_cuda_031,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00002,easy,1.2814413371405071,dorn_cuda_015,dorn_cuda_030,dorn_cuda_015,dorn_cuda_030,dorn_cuda_015,B,B,-0.25,-1.5,False,False,0.625,-0.875,False,False,dorn_cuda_015,True,False,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00003,easy,2.96393255129359,dorn_cuda_025,dorn_cuda_062,dorn_cuda_062,dorn_cuda_062,dorn_cuda_025,B,B,-0.125,-0.5,False,False,0.1875,-0.3125,False,False,dorn_cuda_025,False,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00004,easy,1.079347836842459,dorn_cuda_059,dorn_cuda_118,dorn_cuda_059,dorn_cuda_118,dorn_cuda_118,B,A,-1.0,0.125,True,False,-0.5625,-0.4375,False,False,dorn_cuda_118,False,False,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00005,easy,2.144042425179027,dorn_cuda_057,dorn_cuda_110,dorn_cuda_057,dorn_cuda_057,dorn_cuda_057,A,B,2.875,-2.5,True,True,2.6875,0.1875,False,False,dorn_cuda_057,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00006,easy,3.16866128582256,dorn_cuda_050,dorn_cuda_070,dorn_cuda_070,dorn_cuda_070,dorn_cuda_070,B,A,-1.125,0.75,True,True,-0.9375,-0.1875,False,False,dorn_cuda_070,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00007,easy,1.36696164469826,dorn_cuda_105,dorn_cuda_115,dorn_cuda_105,dorn_cuda_105,dorn_cuda_105,A,B,0.0,-2.875,True,True,1.4375,-1.4375,False,True,dorn_cuda_105,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00008,easy,1.605434787063527,dorn_cuda_049,dorn_cuda_109,dorn_cuda_109,dorn_cuda_109,dorn_cuda_109,B,A,-1.625,0.25,True,True,-0.9375,-0.6875,False,False,dorn_cuda_109,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00009,easy,1.626664136535709,dorn_cuda_065,dorn_cuda_117,dorn_cuda_065,dorn_cuda_065,dorn_cuda_065,A,B,1.125,-1.25,True,True,1.1875,-0.0625,False,False,dorn_cuda_065,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00010,easy,1.425645823767817,dorn_cuda_003,dorn_cuda_069,dorn_cuda_003,dorn_cuda_003,dorn_cuda_003,A,B,2.125,-2.0,True,True,2.0625,0.0625,False,False,dorn_cuda_003,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00011,easy,1.6226524238547602,dorn_cuda_051,dorn_cuda_057,dorn_cuda_057,dorn_cuda_057,dorn_cuda_057,B,A,-1.375,2.125,True,True,-1.75,0.375,False,False,dorn_cuda_057,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00012,easy,1.329328938746487,dorn_cuda_061,dorn_cuda_062,dorn_cuda_062,dorn_cuda_062,dorn_cuda_062,B,A,-1.125,0.25,True,True,-0.6875,-0.4375,False,False,dorn_cuda_062,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00013,easy,2.034107310238005,dorn_cuda_096,dorn_cuda_112,dorn_cuda_096,dorn_cuda_112,dorn_cuda_112,B,A,-1.75,0.875,True,False,-1.3125,-0.4375,False,False,dorn_cuda_112,False,False,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00014,easy,2.545509554200474,dorn_cuda_031,dorn_cuda_089,dorn_cuda_031,dorn_cuda_031,dorn_cuda_031,A,B,1.125,-0.5,True,True,0.8125,0.3125,False,False,dorn_cuda_031,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00015,easy,1.75789675143961,dorn_cuda_024,dorn_cuda_067,dorn_cuda_067,dorn_cuda_067,dorn_cuda_024,B,B,-1.875,-0.125,False,False,-0.875,-1.0,False,False,dorn_cuda_067,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00016,easy,3.3045462114245012,dorn_cuda_047,dorn_cuda_065,dorn_cuda_065,dorn_cuda_065,dorn_cuda_065,B,A,-0.625,0.0,True,True,-0.3125,-0.3125,False,True,dorn_cuda_065,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00017,easy,1.241005385783701,dorn_cuda_010,dorn_cuda_054,dorn_cuda_054,dorn_cuda_054,dorn_cuda_010,B,B,-0.625,-1.125,False,False,0.25,-0.875,False,False,dorn_cuda_010,False,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00018,easy,2.378598176047811,dorn_cuda_098,dorn_cuda_111,dorn_cuda_111,dorn_cuda_111,dorn_cuda_111,B,A,-2.125,1.0,True,True,-1.5625,-0.5625,False,False,dorn_cuda_111,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00019,easy,2.193491335622594,dorn_cuda_055,dorn_cuda_068,dorn_cuda_068,dorn_cuda_068,dorn_cuda_068,B,A,-2.0,0.875,True,True,-1.4375,-0.5625,False,False,dorn_cuda_068,True,True,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00020,easy,1.318301575875408,dorn_cuda_067,dorn_cuda_100,dorn_cuda_100,dorn_cuda_100,dorn_cuda_067,B,B,-1.5,-0.125,False,False,-0.6875,-0.8125,False,False,dorn_cuda_100,True,True,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00021,easy,3.550704964686143,dorn_cuda_041,dorn_cuda_084,dorn_cuda_041,dorn_cuda_041,dorn_cuda_041,A,B,2.25,-4.375,True,True,3.3125,-1.0625,False,False,dorn_cuda_041,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00022,easy,2.719209592760444,dorn_cuda_074,dorn_cuda_078,dorn_cuda_074,dorn_cuda_074,dorn_cuda_074,A,B,1.0,-2.125,True,True,1.5625,-0.5625,False,False,dorn_cuda_074,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00023,easy,1.319486153700874,dorn_cuda_005,dorn_cuda_087,dorn_cuda_005,dorn_cuda_005,dorn_cuda_005,A,B,1.25,-1.5,True,True,1.375,-0.125,False,False,dorn_cuda_005,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00024,easy,3.18423685046284,dorn_cuda_052,dorn_cuda_069,dorn_cuda_052,dorn_cuda_052,dorn_cuda_052,A,B,2.75,-2.375,True,True,2.5625,0.1875,False,False,dorn_cuda_052,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00025,easy,2.185232408301729,dorn_cuda_056,dorn_cuda_060,dorn_cuda_060,dorn_cuda_060,dorn_cuda_060,B,A,-0.5,0.125,True,True,-0.3125,-0.1875,False,False,dorn_cuda_060,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00026,easy,1.453835576526287,dorn_cuda_018,dorn_cuda_065,dorn_cuda_065,dorn_cuda_065,dorn_cuda_065,B,A,-0.625,0.75,True,True,-0.6875,0.0625,False,False,dorn_cuda_065,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00027,easy,1.198459567291521,dorn_cuda_006,dorn_cuda_117,dorn_cuda_117,dorn_cuda_006,dorn_cuda_006,A,B,0.375,-1.125,True,False,0.75,-0.375,False,False,dorn_cuda_006,False,False,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00028,easy,2.848256670526504,dorn_cuda_068,dorn_cuda_078,dorn_cuda_068,dorn_cuda_068,dorn_cuda_068,A,B,0.75,-2.625,True,True,1.6875,-0.9375,False,False,dorn_cuda_068,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00029,easy,1.767241653493085,dorn_cuda_040,dorn_cuda_083,dorn_cuda_040,dorn_cuda_040,dorn_cuda_040,A,B,1.75,-3.125,True,True,2.4375,-0.6875,False,False,dorn_cuda_040,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00030,easy,2.185232408301729,dorn_cuda_060,dorn_cuda_072,dorn_cuda_060,dorn_cuda_060,dorn_cuda_060,A,B,0.0,-0.875,True,True,0.4375,-0.4375,False,True,dorn_cuda_060,True,True,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00031,easy,2.754077427833633,dorn_cuda_025,dorn_cuda_028,dorn_cuda_028,dorn_cuda_028,dorn_cuda_028,B,A,-1.125,0.875,True,True,-1.0,-0.125,False,False,dorn_cuda_028,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00032,easy,1.146011148059525,dorn_cuda_017,dorn_cuda_075,dorn_cuda_017,dorn_cuda_017,dorn_cuda_017,A,B,1.375,-0.5,True,True,0.9375,0.4375,False,False,dorn_cuda_017,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00033,easy,1.026186887994147,dorn_cuda_001,dorn_cuda_018,dorn_cuda_018,dorn_cuda_001,dorn_cuda_001,A,B,0.25,-1.375,True,False,0.8125,-0.5625,False,False,dorn_cuda_001,False,False,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00034,easy,2.061939424464002,dorn_cuda_104,dorn_cuda_109,dorn_cuda_109,dorn_cuda_104,dorn_cuda_109,A,A,0.625,0.125,False,False,0.25,0.375,False,False,dorn_cuda_104,False,False,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00035,easy,1.107443397521764,dorn_cuda_052,dorn_cuda_097,dorn_cuda_052,dorn_cuda_052,dorn_cuda_052,A,B,1.25,-1.0,True,True,1.125,0.125,False,False,dorn_cuda_052,True,True,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00036,easy,1.247057162161219,dorn_cuda_012,dorn_cuda_118,dorn_cuda_012,dorn_cuda_118,dorn_cuda_012,B,B,-0.75,-0.75,False,False,0.0,-0.75,True,False,,False,False,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00037,easy,2.327890107489378,dorn_cuda_025,dorn_cuda_099,dorn_cuda_099,dorn_cuda_025,dorn_cuda_025,A,B,0.0,-0.625,True,False,0.3125,-0.3125,False,True,dorn_cuda_025,False,False,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00038,easy,1.982542367884502,dorn_cuda_011,dorn_cuda_111,dorn_cuda_111,dorn_cuda_011,dorn_cuda_111,A,A,0.0,0.125,False,False,-0.0625,0.0625,False,True,dorn_cuda_111,True,False,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00039,easy,2.582943518232833,dorn_cuda_031,dorn_cuda_056,dorn_cuda_031,dorn_cuda_031,dorn_cuda_031,A,B,1.75,-1.25,True,True,1.5,0.25,False,False,dorn_cuda_031,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00040,easy,1.6890846592360682,dorn_cuda_012,dorn_cuda_056,dorn_cuda_012,dorn_cuda_056,dorn_cuda_012,B,B,-0.125,-0.75,False,False,0.3125,-0.4375,False,False,dorn_cuda_012,True,False,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00041,easy,3.005129642252095,dorn_cuda_030,dorn_cuda_040,dorn_cuda_040,dorn_cuda_040,dorn_cuda_040,B,A,-0.625,0.25,True,True,-0.4375,-0.1875,False,False,dorn_cuda_040,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00042,easy,1.336946454286296,dorn_cuda_090,dorn_cuda_100,dorn_cuda_090,dorn_cuda_090,dorn_cuda_100,A,A,0.5,0.125,False,False,0.1875,0.3125,False,False,dorn_cuda_090,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00043,easy,1.411795214934716,dorn_cuda_054,dorn_cuda_088,dorn_cuda_088,dorn_cuda_088,dorn_cuda_054,B,B,-1.0,-0.625,False,False,-0.1875,-0.8125,False,False,dorn_cuda_088,True,True,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00044,easy,2.069812318102181,dorn_cuda_004,dorn_cuda_112,dorn_cuda_004,dorn_cuda_004,dorn_cuda_004,A,B,1.0,-2.25,True,True,1.625,-0.625,False,False,dorn_cuda_004,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00045,easy,2.260380356896522,dorn_cuda_033,dorn_cuda_088,dorn_cuda_088,dorn_cuda_088,dorn_cuda_033,B,B,-0.375,-0.5,False,False,0.0625,-0.4375,False,False,dorn_cuda_033,False,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00046,easy,1.746940406444661,dorn_cuda_044,dorn_cuda_047,dorn_cuda_044,dorn_cuda_047,dorn_cuda_044,B,B,-1.375,-0.125,False,False,-0.625,-0.75,False,False,dorn_cuda_047,False,False,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00047,easy,2.877607067698273,dorn_cuda_001,dorn_cuda_109,dorn_cuda_109,dorn_cuda_109,dorn_cuda_001,B,B,-0.5,-0.25,False,False,-0.125,-0.375,False,False,dorn_cuda_109,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00048,easy,2.540917891327444,dorn_cuda_024,dorn_cuda_036,dorn_cuda_036,dorn_cuda_036,dorn_cuda_024,B,B,-1.5,-0.125,False,False,-0.6875,-0.8125,False,False,dorn_cuda_036,True,True,False
