experiment,model,language,baseline,condition,n,baseline_only_correct,condition_only_correct,accuracy_delta,delta_cluster_robust_se,delta_ci_low,delta_ci_high,delta_ci_method,mcnemar_exact_p,holm_p,holm_reject_0_05,direction,effect_size,representative_family
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap60__lnon,1000,77,39,-0.038,0.0156201096026883,-0.0686148522558374,-0.0073851477441625,two-way snippet-cluster robust normal interval,0.0005340946135287,0.0058750407488159,True,decrease,-0.038,wrap_60_vs_80
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap80__lnon,1000,45,48,0.003,0.0148664913143619,-0.0261377875526269,0.0321377875526269,two-way snippet-cluster robust normal interval,0.8358461346314864,1.0,False,increase,0.003,theme
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap60__lnon,1000,65,58,-0.007,0.0175950107701018,-0.0414855874169939,0.0274855874169939,two-way snippet-cluster robust normal interval,0.5886880630911525,1.0,False,decrease,-0.007,font_20_vs_24
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap80__lnon,1000,36,60,0.024,0.0143767901841823,-0.0041779909742863,0.0521779909742863,two-way snippet-cluster robust normal interval,0.0184333529314625,0.1659001763831628,False,increase,0.024,font_20_vs_24
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap60__lnon,1000,70,57,-0.013,0.0180262010418168,-0.0483307048200394,0.0223307048200394,two-way snippet-cluster robust normal interval,0.2869146072030987,1.0,False,decrease,-0.013,wrap_60_vs_80
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap80__lnon,1000,45,62,0.017,0.0159946067160152,-0.0143488531102724,0.0483488531102724,two-way snippet-cluster robust normal interval,0.1215124218762443,0.9720993750099546,False,increase,0.017,theme
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,mono_light__fs24__wrap60__lnon,1000,67,52,-0.015,0.017059135382545,-0.0484352909571811,0.0184352909571811,two-way snippet-cluster robust normal interval,0.1991583981856451,1.0,False,decrease,-0.015,font_20_vs_24
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,mono_light__fs24__wrap80__lnon,1000,55,98,0.043,0.021051916872342,0.0017390011246785,0.0842609988753214,two-way snippet-cluster robust normal interval,0.0006366069157043,0.0063660691570435,True,increase,0.043,font_20_vs_24
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,1000,72,63,-0.009,0.0191296909541163,-0.0464935053054497,0.0284935053054497,two-way snippet-cluster robust normal interval,0.4912624577829232,1.0,False,decrease,-0.009,wrap_60_vs_80
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap60__lnon,1000,67,52,-0.015,0.0180860194625572,-0.0504479467703026,0.0204479467703026,two-way snippet-cluster robust normal interval,0.1991583981856451,1.0,False,decrease,-0.015,font_20_vs_24
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap80__lnon,1000,32,36,0.004,0.0107680237741193,-0.0171049387819449,0.0251049387819449,two-way snippet-cluster robust normal interval,0.716300760154337,1.0,False,increase,0.004,font_20_vs_24
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap60__lnon,1000,103,85,-0.018,0.0162334659269053,-0.0498170085609926,0.0138170085609926,two-way snippet-cluster robust normal interval,0.2149217965928434,1.0,False,decrease,-0.018,wrap_60_vs_80
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap80__lnon,1000,42,54,0.012,0.0109961491441321,-0.0095520562911299,0.0335520562911299,two-way snippet-cluster robust normal interval,0.2614694362863879,1.0,False,increase,0.012,theme
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap60__lnon,1000,99,93,-0.006,0.017646156068674,-0.0405858303601741,0.0285858303601741,two-way snippet-cluster robust normal interval,0.7183188542176947,1.0,False,decrease,-0.006,font_20_vs_24
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap80__lnon,1000,40,71,0.031,0.0117122275421885,0.0080444558385724,0.0539555441614275,two-way snippet-cluster robust normal interval,0.0041955341853948,0.0335642734831588,True,increase,0.031,font_20_vs_24
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap60__lnon,1000,113,95,-0.018,0.0183708850086215,-0.054006272981025,0.018006272981025,two-way snippet-cluster robust normal interval,0.2384302688961089,1.0,False,decrease,-0.018,wrap_60_vs_80
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap80__lnon,1000,33,81,0.048,0.01125933994513,0.0259320992178519,0.070067900782148,two-way snippet-cluster robust normal interval,8.004321800801116e-06,8.804753980881228e-05,True,increase,0.048,theme
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,mono_light__fs24__wrap60__lnon,1000,98,100,0.002,0.0187131647777708,-0.0346771290011942,0.0386771290011942,two-way snippet-cluster robust normal interval,0.9433683628047678,1.0,False,increase,0.002,font_20_vs_24
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,mono_light__fs24__wrap80__lnon,1000,35,84,0.049,0.0114930080483743,0.0264741181511572,0.0715258818488427,two-way snippet-cluster robust normal interval,8.182182568303964e-06,8.804753980881228e-05,True,increase,0.049,font_20_vs_24
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,1000,105,90,-0.015,0.0178703007809046,-0.050025145923471,0.020025145923471,two-way snippet-cluster robust normal interval,0.3160731261190124,1.0,False,decrease,-0.015,wrap_60_vs_80
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap60__lnon,1000,99,99,0.0,0.0170293863659264,-0.0333769839560331,0.0333769839560331,two-way snippet-cluster robust normal interval,1.0,1.0,False,no_change,0.0,font_20_vs_24
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap80__lnon,1000,28,59,0.031,0.0087417546293636,0.013866475764761,0.0481335242352389,two-way snippet-cluster robust normal interval,0.0011686374974383,0.0105177374769449,True,increase,0.031,font_20_vs_24
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap60__lnon,1000,98,62,-0.036,0.0221090439413377,-0.0793329298576354,0.0073329298576354,two-way snippet-cluster robust normal interval,0.0054905465663403,0.0439243725307231,True,decrease,-0.036,wrap_60_vs_80
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap80__lnon,1000,49,48,-0.001,0.0167583738471249,-0.0338458091798228,0.0318458091798228,two-way snippet-cluster robust normal interval,1.0,1.0,False,decrease,-0.001,theme
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap60__lnon,1000,94,61,-0.033,0.0202607345868801,-0.07271031009061,0.00671031009061,two-way snippet-cluster robust normal interval,0.0099326683833719,0.0695286786836039,False,decrease,-0.033,font_20_vs_24
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap80__lnon,1000,53,47,-0.006,0.0130351595310529,-0.0315484432135978,0.0195484432135978,two-way snippet-cluster robust normal interval,0.6172994135892524,1.0,False,decrease,-0.006,font_20_vs_24
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap60__lnon,1000,95,57,-0.038,0.0209425818847628,-0.0790467062374162,0.0030467062374162,two-way snippet-cluster robust normal interval,0.0025735692598787,0.0231621233389087,True,decrease,-0.038,wrap_60_vs_80
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap80__lnon,1000,51,57,0.006,0.0147474534750919,-0.0229044776748602,0.0349044776748602,two-way snippet-cluster robust normal interval,0.6306338345308322,1.0,False,increase,0.006,theme
