model_key,model_name,pair_id,snippet_x_id,snippet_y_id,difficulty,human_preference,parsed_ab,parsed_ba,choice_ab,choice_ba,parsed_both,is_valid_strict_swap,is_correct_and_valid,parse_failures_count,pair_parse_failure
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0000__rq0_0279,rq0_0000,rq0_0279,easy,rq0_0279,A,B,rq0_0000,rq0_0000,True,True,False,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0001__rq0_0080,rq0_0001,rq0_0080,hard,rq0_0080,B,A,rq0_0080,rq0_0080,True,True,True,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0001__rq0_0153,rq0_0001,rq0_0153,easy,rq0_0001,B,A,rq0_0153,rq0_0153,True,True,False,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0001__rq0_0167,rq0_0001,rq0_0167,medium,rq0_0001,B,A,rq0_0167,rq0_0167,True,True,False,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0001__rq0_0211,rq0_0001,rq0_0211,easy,rq0_0001,A,B,rq0_0001,rq0_0001,True,True,True,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0001__rq0_0266,rq0_0001,rq0_0266,medium,rq0_0266,B,A,rq0_0266,rq0_0266,True,True,True,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0002__rq0_0014,rq0_0002,rq0_0014,hard,rq0_0014,A,B,rq0_0002,rq0_0002,True,True,False,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0002__rq0_0095,rq0_0002,rq0_0095,hard,rq0_0095,B,A,rq0_0095,rq0_0095,True,True,True,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0003__rq0_0017,rq0_0003,rq0_0017,medium,rq0_0003,A,B,rq0_0003,rq0_0003,True,True,True,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0005__rq0_0022,rq0_0005,rq0_0022,easy,rq0_0022,B,A,rq0_0022,rq0_0022,True,True,True,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0005__rq0_0283,rq0_0005,rq0_0283,hard,rq0_0283,A,B,rq0_0005,rq0_0005,True,True,False,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0006__rq0_0020,rq0_0006,rq0_0020,easy,rq0_0006,B,A,rq0_0020,rq0_0020,True,True,False,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0007__rq0_0063,rq0_0007,rq0_0063,medium,rq0_0063,B,A,rq0_0063,rq0_0063,True,True,True,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0007__rq0_0127,rq0_0007,rq0_0127,hard,rq0_0007,B,A,rq0_0127,rq0_0127,True,True,False,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0008__rq0_0237,rq0_0008,rq0_0237,easy,rq0_0008,A,B,rq0_0008,rq0_0008,True,True,True,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0008__rq0_0304,rq0_0008,rq0_0304,hard,rq0_0008,A,B,rq0_0008,rq0_0008,True,True,True,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0009__rq0_0096,rq0_0009,rq0_0096,medium,rq0_0009,A,B,rq0_0009,rq0_0009,True,True,True,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0010__rq0_0301,rq0_0010,rq0_0301,medium,rq0_0010,A,B,rq0_0010,rq0_0010,True,True,True,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0011__rq0_0235,rq0_0011,rq0_0235,hard,rq0_0235,A,B,rq0_0011,rq0_0011,True,True,False,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0013__rq0_0052,rq0_0013,rq0_0052,easy,rq0_0052,A,A,rq0_0013,rq0_0052,True,False,False,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0014__rq0_0094,rq0_0014,rq0_0094,easy,rq0_0094,B,A,rq0_0094,rq0_0094,True,True,True,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0014__rq0_0233,rq0_0014,rq0_0233,hard,rq0_0233,B,B,rq0_0233,rq0_0014,True,False,False,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0015__rq0_0116,rq0_0015,rq0_0116,easy,rq0_0015,B,A,rq0_0116,rq0_0116,True,True,False,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0016__rq0_0028,rq0_0016,rq0_0028,medium,rq0_0028,A,A,rq0_0016,rq0_0028,True,False,False,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0016__rq0_0029,rq0_0016,rq0_0029,easy,rq0_0029,A,A,rq0_0016,rq0_0029,True,False,False,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0016__rq0_0107,rq0_0016,rq0_0107,easy,rq0_0107,B,A,rq0_0107,rq0_0107,True,True,True,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0016__rq0_0196,rq0_0016,rq0_0196,hard,rq0_0196,A,B,rq0_0016,rq0_0016,True,True,False,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0017__rq0_0169,rq0_0017,rq0_0169,hard,rq0_0017,A,A,rq0_0017,rq0_0169,True,False,False,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0017__rq0_0219,rq0_0017,rq0_0219,hard,rq0_0017,A,B,rq0_0017,rq0_0017,True,True,True,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0018__rq0_0051,rq0_0018,rq0_0051,medium,rq0_0018,A,B,rq0_0018,rq0_0018,True,True,True,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0018__rq0_0111,rq0_0018,rq0_0111,easy,rq0_0018,B,A,rq0_0111,rq0_0111,True,True,False,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0018__rq0_0267,rq0_0018,rq0_0267,medium,rq0_0018,A,B,rq0_0018,rq0_0018,True,True,True,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0019__rq0_0114,rq0_0019,rq0_0114,medium,rq0_0114,B,A,rq0_0114,rq0_0114,True,True,True,0,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0019__rq0_0123,rq0_0019,rq0_0123,medium,rq0_0019,A,A,rq0_0019,rq0_0123,True,False,False,0,False
