pair_id,language,difficulty,parsed_both,strict_valid,strict_correct,debiased_correct,c_content,first_pos_ab,first_pos_ba,base_valid,base_correct,base_parsefail
full_rq0_seed42__rq0_0000__rq0_0025,java,easy,True,True,True,1.0,-1.25,False,True,True,True,0
full_rq0_seed42__rq0_0000__rq0_0033,java,easy,True,True,False,0.0,-0.5357141494750977,False,True,False,False,0
full_rq0_seed42__rq0_0000__rq0_0128,java,easy,True,True,True,1.0,-1.9642858505249023,False,True,True,True,0
full_rq0_seed42__rq0_0000__rq0_0166,java,easy,True,True,True,1.0,-2.440476417541504,False,True,True,True,0
full_rq0_seed42__rq0_0000__rq0_0207,java,easy,True,True,True,1.0,-1.8452367782592773,False,True,True,True,0
full_rq0_seed42__rq0_0000__rq0_0242,java,easy,True,True,True,1.0,-1.309523582458496,False,True,True,False,0
full_rq0_seed42__rq0_0000__rq0_0279,java,easy,True,True,True,1.0,-1.7857141494750977,False,True,False,False,0
full_rq0_seed42__rq0_0001__rq0_0127,java,easy,True,True,False,0.0,-2.083333969116211,False,True,True,False,0
full_rq0_seed42__rq0_0001__rq0_0153,java,easy,True,True,False,0.0,-1.6666669845581055,False,True,True,False,0
full_rq0_seed42__rq0_0001__rq0_0211,java,easy,True,True,False,0.0,-0.5952377319335938,False,True,False,False,0
full_rq0_seed42__rq0_0001__rq0_0276,java,easy,True,True,False,0.0,-0.47618961334228516,False,True,False,False,0
full_rq0_seed42__rq0_0001__rq0_0311,java,easy,True,True,False,0.0,-0.8333339691162109,False,True,False,False,0
full_rq0_seed42__rq0_0002__rq0_0082,java,easy,True,True,True,1.0,-0.47619056701660156,False,True,False,False,0
full_rq0_seed42__rq0_0002__rq0_0107,java,easy,True,True,True,1.0,-0.2976188659667969,False,True,True,True,0
full_rq0_seed42__rq0_0002__rq0_0134,java,easy,True,False,False,,0.0,True,True,False,False,0
full_rq0_seed42__rq0_0002__rq0_0216,java,easy,True,True,True,1.0,-1.1309528350830078,False,True,False,False,0
full_rq0_seed42__rq0_0002__rq0_0255,java,easy,True,True,True,1.0,-1.8452377319335938,False,True,False,False,0
full_rq0_seed42__rq0_0002__rq0_0282,java,easy,True,True,True,1.0,-1.6666669845581055,False,True,False,False,0
full_rq0_seed42__rq0_0003__rq0_0077,java,easy,True,False,False,,0.0,True,True,True,True,0
full_rq0_seed42__rq0_0003__rq0_0111,java,easy,True,False,False,0.0,-0.059523582458496094,True,True,True,False,0
full_rq0_seed42__rq0_0003__rq0_0269,java,easy,True,True,True,1.0,0.7738094329833984,True,False,True,True,0
full_rq0_seed42__rq0_0004__rq0_0077,java,easy,True,True,True,1.0,1.0119047164916992,True,False,True,True,0
full_rq0_seed42__rq0_0004__rq0_0085,java,easy,True,True,True,1.0,1.4880952835083008,True,False,True,True,0
full_rq0_seed42__rq0_0004__rq0_0088,java,easy,True,True,True,1.0,1.1309528350830078,True,False,True,True,0
full_rq0_seed42__rq0_0004__rq0_0129,java,easy,True,True,True,1.0,1.0714282989501953,True,False,True,True,0
full_rq0_seed42__rq0_0004__rq0_0162,java,easy,True,True,True,1.0,1.0119056701660156,True,False,True,True,0
full_rq0_seed42__rq0_0004__rq0_0299,java,easy,True,False,False,1.0,0.23809528350830078,True,True,True,True,0
full_rq0_seed42__rq0_0005__rq0_0022,java,easy,True,True,True,1.0,-0.41666698455810547,False,True,True,True,0
full_rq0_seed42__rq0_0005__rq0_0042,java,easy,True,True,True,1.0,-0.7738094329833984,False,True,True,True,0
full_rq0_seed42__rq0_0005__rq0_0049,java,easy,True,True,True,1.0,-1.607142448425293,False,True,True,True,0
full_rq0_seed42__rq0_0005__rq0_0080,java,easy,True,True,True,1.0,-2.3214292526245117,False,True,True,True,0
full_rq0_seed42__rq0_0005__rq0_0113,java,easy,True,True,True,1.0,-2.619047164916992,False,True,True,True,0
full_rq0_seed42__rq0_0005__rq0_0130,java,easy,True,True,True,1.0,-2.6785707473754883,False,True,True,True,0
full_rq0_seed42__rq0_0005__rq0_0136,java,easy,True,True,True,1.0,-1.4880952835083008,False,True,True,True,0
full_rq0_seed42__rq0_0005__rq0_0160,java,easy,True,True,True,1.0,-1.0714292526245117,False,True,True,True,0
full_rq0_seed42__rq0_0005__rq0_0204,java,easy,True,True,True,1.0,-2.6785707473754883,False,True,False,False,0
full_rq0_seed42__rq0_0005__rq0_0216,java,easy,True,True,True,1.0,-2.261904716491699,False,True,False,False,0
full_rq0_seed42__rq0_0005__rq0_0246,java,easy,True,True,True,1.0,-2.5,False,True,True,True,0
full_rq0_seed42__rq0_0005__rq0_0300,java,easy,True,True,True,1.0,-1.8452377319335938,False,True,False,False,0
full_rq0_seed42__rq0_0006__rq0_0020,java,easy,True,True,False,0.0,-0.7142858505249023,False,True,True,False,0
full_rq0_seed42__rq0_0006__rq0_0039,java,easy,True,True,True,1.0,1.071427345275879,True,False,True,True,0
full_rq0_seed42__rq0_0006__rq0_0075,java,easy,True,True,False,0.0,-0.47619056701660156,False,True,True,False,0
full_rq0_seed42__rq0_0006__rq0_0120,java,easy,True,True,False,0.0,0.5952386856079102,True,False,False,False,0
full_rq0_seed42__rq0_0007__rq0_0078,java,easy,True,True,True,1.0,-0.7738094329833984,False,True,True,True,0
full_rq0_seed42__rq0_0007__rq0_0227,java,easy,True,True,True,1.0,-1.666666030883789,False,True,True,True,0
full_rq0_seed42__rq0_0007__rq0_0255,java,easy,True,True,True,1.0,-1.8452377319335938,False,True,False,False,0
full_rq0_seed42__rq0_0008__rq0_0026,java,easy,True,False,False,,0.0,False,False,True,True,0
full_rq0_seed42__rq0_0008__rq0_0035,java,easy,True,True,False,0.0,-0.5952377319335938,False,True,True,True,0
full_rq0_seed42__rq0_0008__rq0_0061,java,easy,True,False,False,1.0,0.05952262878417969,False,False,True,True,0
full_rq0_seed42__rq0_0008__rq0_0100,java,easy,True,True,False,0.0,-0.3571434020996094,False,True,True,True,0
full_rq0_seed42__rq0_0008__rq0_0139,java,easy,True,True,False,0.0,-1.7261905670166016,False,True,True,False,0
full_rq0_seed42__rq0_0008__rq0_0237,java,easy,True,True,False,0.0,-0.47618961334228516,False,True,True,True,0
full_rq0_seed42__rq0_0008__rq0_0278,java,easy,True,False,False,,0.0,False,False,True,True,0
full_rq0_seed42__rq0_0008__rq0_0295,java,easy,True,True,False,0.0,-0.7738094329833984,False,True,True,True,0
full_rq0_seed42__rq0_0009__rq0_0080,java,easy,True,False,False,1.0,-0.23809528350830078,True,True,False,False,0
full_rq0_seed42__rq0_0009__rq0_0120,java,easy,True,True,False,0.0,0.9523811340332031,True,False,True,False,0
full_rq0_seed42__rq0_0009__rq0_0151,java,easy,True,True,True,1.0,0.5357141494750977,True,False,True,True,0
full_rq0_seed42__rq0_0009__rq0_0248,java,easy,True,False,False,0.0,0.23809528350830078,True,True,True,False,0
full_rq0_seed42__rq0_0010__rq0_0198,java,easy,True,False,False,0.0,-0.47618961334228516,True,True,True,True,0
full_rq0_seed42__rq0_0010__rq0_0211,java,easy,True,True,False,0.0,-0.6547613143920898,False,True,True,True,0
full_rq0_seed42__rq0_0010__rq0_0217,java,easy,True,True,True,1.0,0.2976198196411133,True,False,True,True,0
full_rq0_seed42__rq0_0010__rq0_0247,java,easy,True,False,False,0.0,-0.2976198196411133,True,True,True,True,0
full_rq0_seed42__rq0_0010__rq0_0266,java,easy,True,True,True,1.0,-1.785715103149414,False,True,True,True,0
full_rq0_seed42__rq0_0010__rq0_0298,java,easy,True,True,False,0.0,-1.0119056701660156,False,True,False,False,0
full_rq0_seed42__rq0_0011__rq0_0048,java,easy,True,True,False,0.0,0.6547622680664062,True,False,False,False,0
full_rq0_seed42__rq0_0011__rq0_0196,java,easy,True,True,True,1.0,0.35714244842529297,True,False,True,True,0
full_rq0_seed42__rq0_0011__rq0_0261,java,easy,True,True,False,0.0,-0.23809528350830078,False,True,True,True,0
full_rq0_seed42__rq0_0011__rq0_0286,java,easy,True,True,True,1.0,0.5357141494750977,True,False,True,True,0
full_rq0_seed42__rq0_0012__rq0_0076,java,easy,True,True,False,0.0,-0.47619056701660156,False,True,True,True,0
full_rq0_seed42__rq0_0012__rq0_0130,java,easy,True,True,False,0.0,-1.4880952835083008,False,True,False,False,0
full_rq0_seed42__rq0_0012__rq0_0149,java,easy,True,True,False,0.0,-1.8452367782592773,False,True,False,False,0
full_rq0_seed42__rq0_0012__rq0_0195,java,easy,True,True,False,0.0,-0.5357151031494141,False,True,False,False,0
full_rq0_seed42__rq0_0012__rq0_0231,java,easy,True,True,False,0.0,-0.5357151031494141,False,True,True,True,0
full_rq0_seed42__rq0_0012__rq0_0241,java,easy,True,False,False,0.0,-0.11904716491699219,True,True,True,True,0
full_rq0_seed42__rq0_0012__rq0_0260,java,easy,True,True,False,0.0,-0.9523811340332031,False,True,True,True,0
full_rq0_seed42__rq0_0013__rq0_0026,java,easy,True,True,False,0.0,1.25,True,False,False,False,0
full_rq0_seed42__rq0_0013__rq0_0041,java,easy,True,True,False,0.0,1.7857141494750977,True,False,True,False,0
full_rq0_seed42__rq0_0013__rq0_0052,java,easy,True,True,False,0.0,0.7738103866577148,True,False,False,False,0
full_rq0_seed42__rq0_0013__rq0_0101,java,easy,True,False,False,1.0,-0.2976198196411133,True,True,False,False,0
full_rq0_seed42__rq0_0013__rq0_0147,java,easy,True,False,False,1.0,-0.05952262878417969,True,True,True,True,0
full_rq0_seed42__rq0_0013__rq0_0169,java,easy,True,True,False,0.0,0.9523811340332031,True,False,False,False,0
full_rq0_seed42__rq0_0013__rq0_0176,java,easy,True,True,False,0.0,0.47619056701660156,True,False,False,False,0
full_rq0_seed42__rq0_0013__rq0_0216,java,easy,True,True,False,0.0,0.47619056701660156,True,False,False,False,0
full_rq0_seed42__rq0_0013__rq0_0246,java,easy,True,False,False,1.0,-0.5357141494750977,True,True,True,True,0
full_rq0_seed42__rq0_0013__rq0_0288,java,easy,True,False,False,0.0,0.1785717010498047,True,True,False,False,0
full_rq0_seed42__rq0_0013__rq0_0308,java,easy,True,True,False,0.0,0.2976188659667969,True,False,False,False,0
full_rq0_seed42__rq0_0014__rq0_0046,java,easy,True,False,False,1.0,-0.17857074737548828,True,True,True,True,0
full_rq0_seed42__rq0_0014__rq0_0049,java,easy,True,True,True,1.0,-0.059523582458496094,False,True,True,True,0
full_rq0_seed42__rq0_0014__rq0_0059,java,easy,True,True,False,0.0,0.5952386856079102,True,False,True,False,0
full_rq0_seed42__rq0_0014__rq0_0078,java,easy,True,False,False,1.0,-0.47619056701660156,True,True,True,True,0
full_rq0_seed42__rq0_0014__rq0_0094,java,easy,True,True,True,1.0,-0.3571434020996094,False,True,True,True,0
full_rq0_seed42__rq0_0014__rq0_0114,java,easy,True,True,True,1.0,-0.9523811340332031,False,True,True,True,0
full_rq0_seed42__rq0_0014__rq0_0124,java,easy,True,True,False,0.0,0.7142858505249023,True,False,False,False,0
full_rq0_seed42__rq0_0014__rq0_0149,java,easy,True,True,False,0.0,-1.8452377319335938,False,True,True,False,0
full_rq0_seed42__rq0_0014__rq0_0215,java,easy,True,True,True,1.0,-1.5476198196411133,False,True,False,False,0
full_rq0_seed42__rq0_0014__rq0_0221,java,easy,True,True,True,1.0,-1.607142448425293,False,True,True,True,0
full_rq0_seed42__rq0_0014__rq0_0248,java,easy,True,True,False,0.0,0.47619056701660156,True,False,False,False,0
full_rq0_seed42__rq0_0015__rq0_0056,java,easy,True,True,False,0.0,-0.3571434020996094,False,True,True,True,0
full_rq0_seed42__rq0_0015__rq0_0084,java,easy,True,True,True,1.0,0.47619056701660156,True,False,True,True,0
full_rq0_seed42__rq0_0015__rq0_0116,java,easy,True,True,False,0.0,-2.380952835083008,False,True,True,False,0
full_rq0_seed42__rq0_0015__rq0_0181,java,easy,True,True,False,0.0,-0.5357151031494141,False,True,True,False,0
full_rq0_seed42__rq0_0015__rq0_0274,java,easy,True,True,False,0.0,-1.0714292526245117,False,True,False,False,0
full_rq0_seed42__rq0_0015__rq0_0283,java,easy,True,True,False,0.0,-2.5,False,True,False,False,0
full_rq0_seed42__rq0_0015__rq0_0291,java,easy,True,True,False,0.0,-1.0714282989501953,False,True,False,False,0
full_rq0_seed42__rq0_0016__rq0_0029,java,easy,True,False,False,1.0,-0.29761791229248047,True,True,True,False,0
full_rq0_seed42__rq0_0016__rq0_0107,java,easy,True,False,False,1.0,-0.17857074737548828,True,True,True,True,0
full_rq0_seed42__rq0_0016__rq0_0169,java,easy,True,True,True,1.0,-0.47619056701660156,False,True,False,False,0
full_rq0_seed42__rq0_0016__rq0_0173,java,easy,True,True,True,1.0,-0.0595245361328125,False,True,True,False,0
full_rq0_seed42__rq0_0016__rq0_0222,java,easy,True,True,True,1.0,-1.6071434020996094,False,True,True,True,0
full_rq0_seed42__rq0_0016__rq0_0238,java,easy,True,True,True,1.0,-0.41666698455810547,False,True,True,False,0
full_rq0_seed42__rq0_0016__rq0_0258,java,easy,True,True,True,1.0,-0.7142858505249023,False,True,True,False,0
full_rq0_seed42__rq0_0016__rq0_0297,java,easy,True,False,False,1.0,-0.892857551574707,True,True,True,True,0
full_rq0_seed42__rq0_0017__rq0_0053,java,easy,True,False,False,0.0,-0.1785717010498047,True,True,True,True,0
full_rq0_seed42__rq0_0017__rq0_0064,java,easy,True,True,False,0.0,-1.4285707473754883,False,True,True,False,0
full_rq0_seed42__rq0_0017__rq0_0251,java,easy,True,True,False,0.0,-1.4285717010498047,False,True,False,False,0
full_rq0_seed42__rq0_0018__rq0_0027,java,easy,True,True,False,0.0,0.47619152069091797,True,False,False,False,0
full_rq0_seed42__rq0_0018__rq0_0056,java,easy,True,True,True,1.0,0.17857074737548828,True,False,False,False,0
full_rq0_seed42__rq0_0018__rq0_0111,java,easy,True,True,False,0.0,-0.2976188659667969,False,True,True,False,0
full_rq0_seed42__rq0_0018__rq0_0114,java,easy,True,True,True,1.0,-1.0119056701660156,False,True,True,True,0
full_rq0_seed42__rq0_0018__rq0_0202,java,easy,True,True,False,0.0,-0.41666603088378906,False,True,False,False,0
full_rq0_seed42__rq0_0018__rq0_0225,java,easy,True,True,False,0.0,-0.41666698455810547,False,True,False,False,0
full_rq0_seed42__rq0_0019__rq0_0276,java,easy,True,True,False,0.0,-2.023808479309082,False,True,False,False,0
full_rq0_seed42__rq0_0020__rq0_0060,java,easy,True,True,False,0.0,1.0119056701660156,True,False,True,False,0
full_rq0_seed42__rq0_0020__rq0_0089,java,easy,True,True,True,1.0,1.5476188659667969,True,False,True,True,0
