experiment_ab,condition,model_ab,model_label_ab,model_revision_ab,language,pair_id,source_pair_id_ab,difficulty_rank_ab,abs_z_diff_ab,snippet_i_ab,snippet_j_ab,snippet_first_ab,snippet_second_ab,order_ab,gold_side_ab,parsed_choice_ab,verdict_token_index_ab,verdict_token_id_ab,token_family_ab,token_id_A_ab,token_id_B_ab,logit_A_ab,logit_B_ab,margin_ab,logit_tie_ab,logit_argmax_choice_ab,argmax_matches_parsed_ab,raw_output_ab,gen_tokens_ab,capture_method_ab,seed_ab,created_at_utc_ab,experiment_ba,model_ba,model_label_ba,model_revision_ba,source_pair_id_ba,difficulty_rank_ba,abs_z_diff_ba,snippet_i_ba,snippet_j_ba,snippet_first_ba,snippet_second_ba,order_ba,gold_side_ba,parsed_choice_ba,verdict_token_index_ba,verdict_token_id_ba,token_family_ba,token_id_A_ba,token_id_B_ba,logit_A_ba,logit_B_ba,margin_ba,logit_tie_ba,logit_argmax_choice_ba,argmax_matches_parsed_ba,raw_output_ba,gen_tokens_ba,capture_method_ba,seed_ba,created_at_utc_ba,protocol_pair_id,snippet_i,snippet_j,human_preference,parsed_both,strict_valid,strict_winner,strict_correct,b_position,c_content,is_boundary,is_exact_tie,debiased_correct,first_pos_ab,first_pos_ba
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,java,u3_0000,full_rq0_seed42__rq0_0000__rq0_0242,far,1.0075353107787306,rq0_0000,rq0_0242,rq0_0000,rq0_0242,AB,second,B,5.0,603.0,space_prefixed,562,603,13.625,24.125,-10.5,False,B,True,FINAL_VERDICT: B,7,generate_output_scores,42,2026-09-12T03:04:22.859705+00:00,grid,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,full_rq0_seed42__rq0_0000__rq0_0242,far,1.0075353107787306,rq0_0000,rq0_0242,rq0_0242,rq0_0000,BA,first,B,5.0,603.0,space_prefixed,562,603,22.625,26.75,-4.125,False,B,True,FINAL_VERDICT: B,7,generate_output_scores,42,2026-09-12T03:04:23.431711+00:00,u3_0000,rq0_0000,rq0_0242,rq0_0242,True,False,,False,-7.3125,-3.1875,False,False,1.0,0.0,0.0
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,java,u3_0001,full_rq0_seed42__rq0_0001__rq0_0211,far,2.9133804128343064,rq0_0001,rq0_0211,rq0_0001,rq0_0211,AB,first,A,5.0,562.0,space_prefixed,562,603,20.875,7.8438,13.0312,False,A,True,FINAL_VERDICT: A,7,generate_output_scores,42,2026-09-12T03:04:24.006573+00:00,grid,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,full_rq0_seed42__rq0_0001__rq0_0211,far,2.9133804128343064,rq0_0001,rq0_0211,rq0_0211,rq0_0001,BA,second,B,5.0,603.0,space_prefixed,562,603,7.9062,22.625,-14.7188,False,B,True,FINAL_VERDICT: B,7,generate_output_scores,42,2026-09-12T03:04:24.422049+00:00,u3_0001,rq0_0001,rq0_0211,rq0_0001,True,True,rq0_0001,True,-0.8437999999999999,13.875,False,False,1.0,1.0,0.0
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,java,u3_0002,full_rq0_seed42__rq0_0002__rq0_0282,far,2.9336483871789394,rq0_0002,rq0_0282,rq0_0002,rq0_0282,AB,second,B,5.0,603.0,space_prefixed,562,603,21.125,26.75,-5.625,False,B,True,FINAL_VERDICT: B,7,generate_output_scores,42,2026-09-12T03:04:25.100541+00:00,grid,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,full_rq0_seed42__rq0_0002__rq0_0282,far,2.9336483871789394,rq0_0002,rq0_0282,rq0_0282,rq0_0002,BA,first,A,5.0,562.0,space_prefixed,562,603,25.5,17.75,7.75,False,A,True,FINAL_VERDICT: A,7,generate_output_scores,42,2026-09-12T03:04:25.661705+00:00,u3_0002,rq0_0002,rq0_0282,rq0_0282,True,True,rq0_0282,True,1.0625,-6.6875,False,False,1.0,0.0,1.0
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,java,u3_0003,full_rq0_seed42__rq0_0003__rq0_0077,far,1.092964150855298,rq0_0003,rq0_0077,rq0_0003,rq0_0077,AB,first,A,5.0,562.0,space_prefixed,562,603,26.125,20.375,5.75,False,A,True,FINAL_VERDICT: A,7,generate_output_scores,42,2026-09-12T03:04:26.062041+00:00,grid,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,full_rq0_seed42__rq0_0003__rq0_0077,far,1.092964150855298,rq0_0003,rq0_0077,rq0_0077,rq0_0003,BA,second,B,5.0,603.0,space_prefixed,562,603,17.5,25.625,-8.125,False,B,True,FINAL_VERDICT: B,7,generate_output_scores,42,2026-09-12T03:04:26.472991+00:00,u3_0003,rq0_0003,rq0_0077,rq0_0003,True,True,rq0_0003,True,-1.1875,6.9375,False,False,1.0,1.0,0.0
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,java,u3_0004,full_rq0_seed42__rq0_0003__rq0_0269,far,1.3776914478114004,rq0_0003,rq0_0269,rq0_0003,rq0_0269,AB,first,A,5.0,562.0,space_prefixed,562,603,22.625,11.0625,11.5625,False,A,True,FINAL_VERDICT: A,7,generate_output_scores,42,2026-09-12T03:04:27.052074+00:00,grid,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,full_rq0_seed42__rq0_0003__rq0_0269,far,1.3776914478114004,rq0_0003,rq0_0269,rq0_0269,rq0_0003,BA,second,B,5.0,603.0,space_prefixed,562,603,9.6875,22.875,-13.1875,False,B,True,FINAL_VERDICT: B,7,generate_output_scores,42,2026-09-12T03:04:27.641656+00:00,u3_0004,rq0_0003,rq0_0269,rq0_0003,True,True,rq0_0003,True,-0.8125,12.375,False,False,1.0,1.0,0.0
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,java,u3_0005,full_rq0_seed42__rq0_0004__rq0_0077,far,1.3431607637016914,rq0_0004,rq0_0077,rq0_0004,rq0_0077,AB,first,A,5.0,562.0,space_prefixed,562,603,25.875,19.5,6.375,False,A,True,FINAL_VERDICT: A,7,generate_output_scores,42,2026-09-12T03:04:28.049308+00:00,grid,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,full_rq0_seed42__rq0_0004__rq0_0077,far,1.3431607637016914,rq0_0004,rq0_0077,rq0_0077,rq0_0004,BA,second,B,5.0,603.0,space_prefixed,562,603,16.125,25.25,-9.125,False,B,True,FINAL_VERDICT: B,7,generate_output_scores,42,2026-09-12T03:04:28.453026+00:00,u3_0005,rq0_0004,rq0_0077,rq0_0004,True,True,rq0_0004,True,-1.375,7.75,False,False,1.0,1.0,0.0
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,java,u3_0006,full_rq0_seed42__rq0_0004__rq0_0129,far,1.3041732782467568,rq0_0004,rq0_0129,rq0_0004,rq0_0129,AB,first,A,8.0,562.0,space_prefixed,562,603,26.375,21.125,5.25,False,A,True,"thought
FINAL_VERDICT: A",10,generate_output_scores,42,2026-09-12T03:04:29.268155+00:00,grid,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,full_rq0_seed42__rq0_0004__rq0_0129,far,1.3041732782467568,rq0_0004,rq0_0129,rq0_0129,rq0_0004,BA,second,B,6.0,603.0,space_prefixed,562,603,17.625,25.5,-7.875,False,B,True,FINAL_VERDICT: B,8,generate_output_scores,42,2026-09-12T03:04:29.979588+00:00,u3_0006,rq0_0004,rq0_0129,rq0_0004,True,True,rq0_0004,True,-1.3125,6.5625,False,False,1.0,1.0,0.0
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,java,u3_0007,full_rq0_seed42__rq0_0005__rq0_0042,far,3.0023593541567246,rq0_0005,rq0_0042,rq0_0005,rq0_0042,AB,second,B,5.0,603.0,space_prefixed,562,603,10.875,23.375,-12.5,False,B,True,FINAL_VERDICT: B,7,generate_output_scores,42,2026-09-12T03:04:30.363115+00:00,grid,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,full_rq0_seed42__rq0_0005__rq0_0042,far,3.0023593541567246,rq0_0005,rq0_0042,rq0_0042,rq0_0005,BA,first,A,5.0,562.0,space_prefixed,562,603,26.125,19.75,6.375,False,A,True,FINAL_VERDICT: A,7,generate_output_scores,42,2026-09-12T03:04:30.741265+00:00,u3_0007,rq0_0005,rq0_0042,rq0_0042,True,True,rq0_0042,True,-3.0625,-9.4375,False,False,1.0,0.0,1.0
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,java,u3_0008,full_rq0_seed42__rq0_0005__rq0_0049,far,2.752162741310328,rq0_0005,rq0_0049,rq0_0005,rq0_0049,AB,second,B,5.0,603.0,space_prefixed,562,603,8.3125,22.5,-14.1875,False,B,True,FINAL_VERDICT: B,7,generate_output_scores,42,2026-09-12T03:04:31.133029+00:00,grid,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,full_rq0_seed42__rq0_0005__rq0_0049,far,2.752162741310328,rq0_0005,rq0_0049,rq0_0049,rq0_0005,BA,first,A,5.0,562.0,space_prefixed,562,603,25.5,18.375,7.125,False,A,True,FINAL_VERDICT: A,7,generate_output_scores,42,2026-09-12T03:04:31.544585+00:00,u3_0008,rq0_0005,rq0_0049,rq0_0049,True,True,rq0_0049,True,-3.53125,-10.65625,False,False,1.0,0.0,1.0
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,java,u3_0009,full_rq0_seed42__rq0_0005__rq0_0113,far,1.3586113334790018,rq0_0005,rq0_0113,rq0_0005,rq0_0113,AB,second,B,5.0,603.0,space_prefixed,562,603,10.5625,23.0,-12.4375,False,B,True,FINAL_VERDICT: B,7,generate_output_scores,42,2026-09-12T03:04:31.965454+00:00,grid,google/gemma-4-12B-it,Gemma4-12B,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,full_rq0_seed42__rq0_0005__rq0_0113,far,1.3586113334790018,rq0_0005,rq0_0113,rq0_0113,rq0_0005,BA,first,A,5.0,562.0,space_prefixed,562,603,23.5,13.625,9.875,False,A,True,FINAL_VERDICT: A,7,generate_output_scores,42,2026-09-12T03:04:32.531266+00:00,u3_0009,rq0_0005,rq0_0113,rq0_0113,True,True,rq0_0113,True,-1.28125,-11.15625,False,False,1.0,0.0,1.0
