rq0_id,dataset_name,language,raw_code,human_mean_score,human_score_z_within_dataset,formatting_code_hash,score_for_stratum,human_score_z_within_language,has_error,error_nodes,identifier_nodes,behavior_nodes,eligible,mutation_feasible,score_stratum,base_index,base_id
dorn_cuda_108,Dorn,cuda,"				unsigned char * DEVICE_Hashes, unsigned char *DEVICE_HashTable) { \
  const int pass_length = length; \
  uint32_t b0,b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15; \
  uint32_t a,b,c,d; \
  uint32_t thread_index = blockIdx.x*blockDim.x + threadIdx.x; \
  uint32_t *DEVICE_Hashes_32 = (uint32_t *)DEVICE_Hashes; \
  unsigned char p0, p1, p2, p3, p4, p5, p6, p7, p8, p9, p10, p11, p12, p13, p14, p15; \
  UINT4 password_count = 0, hash_to_check = 0; \
  __shared__ __align__(16) unsigned char sharedCharset[MAX_CHARSET_LENGTH * MAX_PASSWORD_LEN]; \
  __shared__ __align__(16) unsigned char sharedBitmap[8192]; \
  __shared__ unsigned char sharedLengths[16]; \
  copyCharsetAndBitmap(sharedCharset, sharedBitmap, sharedLengths, charsetLen, pass_length); \
  loadStartPositions(pass_length, thread_index, DEVICE_Start_Positions, \
    p0, p1, p2, p3, p4, p5, p6, p7, p8, p9, p10, p11, p12, p13, p14, p15); \
  while (password_count < count) { \
    for (hash_to_check = 0; hash_to_check < numberOfPasswords; hash_to_check++) { \
    clearB0toB15(b0, b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15); \
    LoadPasswordAtPosition(pass_length, 0, sharedCharset, \
        p0, p1, p2, p3, p4, p5, p6, p7, p8, p9, p10, p11, p12, p13, p14, p15, \
        b0, b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15); \
        LoadSalt(pass_length, hash_to_check, constantSalts, constantSaltLengths, \
            b0, b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15); \
        CUDA_GENERIC_MD5(b0, b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15, \
            a, b, c, d, pass_length + constantSaltLengths[hash_to_check]); \
        checkHashMulti(pass_length, sharedBitmap, DEVICE_HashTable, numberOfPasswords, \
		DEVICE_Hashes_32, success, OutputPassword, \
		p0, p1, p2, p3, p4, p5, p6, p7, p8, p9, p10, p11, p12, p13, p14, p15, \
		a, b, c, d, b0, b1, b2, b3, b4, b5); \
      } \
  password_count++; \
  incrementCounters##length##Multi(); \
  } \
}





// Copy the shared variables to the host
extern ""C"" void copyDCCDataToConstant(char *hostCharset, int charsetLength,
        unsigned char *hostCharsetLengths, unsigned char *hostSharedBitmap, int threadId,
        unsigned char *salts, unsigned char *saltLengths, uint32_t numberOfHashes) {
    //printf(""Thread %d in CHHashTypeMD5.cu, copyMD5DataToCharset()\n"", threadId);
    CUDA_SAFE_CALL(cudaMemcpyToSymbol(deviceCharset, hostCharset, (MAX_CHARSET_LENGTH * charsetLength)));
    CUDA_SAFE_CALL(cudaMemcpyToSymbol(constantBitmap, hostSharedBitmap, 8192));
    CUDA_SAFE_CALL(cudaMemcpyToSymbol(charsetLengths, hostCharsetLengths, 16));
    CUDA_SAFE_CALL(cudaMemcpyToSymbol(constantSalts, salts, numberOfHashes * 32));
    CUDA_SAFE_CALL(cudaMemcpyToSymbol(constantSaltLengths, saltLengths, numberOfHashes));
}

",1.6408839779005524,-2.722391175583522,bdb2bbb3e9d9342cbd9a926e51633791726063735591f49a1f8aaafbb18b8578,-1.894852774971256,-1.894852774971256,True,9,265,31,True,True,low,0,rq3g_cuda_000
dorn_cuda_069,Dorn,cuda,"        MD4HH (b, c, d, a, b12, MD4S34); \
        MD4HH (a, b, c, d, b2, MD4S31); \
        MD4HH (d, a, b, c, b10, MD4S32); \
        MD4HH (c, d, a, b, b6, MD4S33); \
        MD4HH (b, c, d, a, b14, MD4S34); \
        MD4HH (a, b, c, d, b1, MD4S31); \
        if (pass_len > 6) { \
            MD4HH (d, a, b, c, b9, MD4S32); \
            MD4HH (c, d, a, b, b5, MD4S33); \
            MD4HH (b, c, d, a, b13, MD4S34); \
            MD4HH (a, b, c, d, b3, MD4S31); \
            if (pass_len > 14) { \
                MD4HH (d, a, b, c, b11, MD4S32); \
                MD4HH (c, d, a, b, b7, MD4S33); \
            } \
        } \
        checkHash128LENTLM(a, b, c, d, b0, b1, b2, b3, \
            b4, b5, b6, b7, sharedBitmap, \
            deviceGlobalBitmapAPlainNTLM, deviceGlobalBitmapBPlainNTLM, \
            deviceGlobalBitmapCPlainNTLM, deviceGlobalBitmapDPlainNTLM, \
            deviceGlobalFoundPasswordsPlainNTLM, deviceGlobalFoundPasswordFlagsPlainNTLM, \
            deviceGlobalHashlistAddressPlainNTLM, numberOfHashesPlainNTLM, \
            passwordLengthPlainNTLM); \
        if (charsetLengthsPlainNTLM[1] == 0) { \
                makeMFNSingleIncrementorsNTLM##pass_len (sharedCharsetPlainNTLM, sharedReverseCharsetPlainNTLM, sharedCharsetLengthsPlainNTLM); \
        } else { \
                makeMFNMultipleIncrementorsNTLM##pass_len (sharedCharsetPlainNTLM, sharedReverseCharsetPlainNTLM, sharedCharsetLengthsPlainNTLM); \
        } \
        password_count++; \
    } \
    storeNTLMPasswords32(deviceGlobalStartPasswords32PlainNTLM, deviceNumberThreadsPlainNTLM, pass_len); \
}


MAKE_MFN_NTLM_KERNEL1_8LENGTH(1);
MAKE_MFN_NTLM_KERNEL1_8LENGTH(2);
MAKE_MFN_NTLM_KERNEL1_8LENGTH(3);
MAKE_MFN_NTLM_KERNEL1_8LENGTH(4);
MAKE_MFN_NTLM_KERNEL1_8LENGTH(5);
MAKE_MFN_NTLM_KERNEL1_8LENGTH(6);
MAKE_MFN_NTLM_KERNEL1_8LENGTH(7);
MAKE_MFN_NTLM_KERNEL1_8LENGTH(8);
MAKE_MFN_NTLM_KERNEL1_8LENGTH(9);
MAKE_MFN_NTLM_KERNEL1_8LENGTH(10);
MAKE_MFN_NTLM_KERNEL1_8LENGTH(11);
MAKE_MFN_NTLM_KERNEL1_8LENGTH(12);
MAKE_MFN_NTLM_KERNEL1_8LENGTH(13);
MAKE_MFN_NTLM_KERNEL1_8LENGTH(14);
MAKE_MFN_NTLM_KERNEL1_8LENGTH(15);
MAKE_MFN_NTLM_KERNEL1_8LENGTH(16);
",1.702127659574468,-2.618460257693279,85b486d267979f78f35db9c4dde81333d5d4e462e5ae0ad21a6f58c1c07ddb62,-1.798868592771062,-1.798868592771062,True,3,127,35,True,True,low,1,rq3g_cuda_001
dorn_cuda_078,Dorn,cuda,"		g_globalBestID[setID] = s_fitnesses[0];
}

////////////////////////////////////////////////////HOST FUNCTIONS////////////////////////////////////////////////////

__host__  void initRandomStates(unsigned int m_setNumber, unsigned int solutionsNumber, unsigned int actualSolutionSize, curandState* devStates)
{ setup_kernel<<<dim3(m_setNumber, solutionsNumber,1), actualSolutionSize>>>(devStates, time(NULL)); }

__host__  int getThreadNumForReduction(int size) {return (int) rint( pow(2.0f, (int)ceil( log2( (float) size) ) ) );}

__host__ void h_findBestFitness(float* g_fitnesses, float* g_globalBestFitness, unsigned int * g_globalBestID, int solution_num, dim3 findBestFitnessGrid, dim3 findBestFitnessBlock)
{
	if(findBestFitnessBlock.x <= 8)
		findBestFitness<   8><<<findBestFitnessGrid,   8,   16*sizeof(float)>>>(g_fitnesses, g_globalBestFitness, g_globalBestID, solution_num);
	else if(findBestFitnessBlock.x <= 16)
		findBestFitness<  16><<<findBestFitnessGrid,  16,  32*sizeof(float)>>>(g_fitnesses, g_globalBestFitness, g_globalBestID, solution_num);
	else if(findBestFitnessBlock.x <= 32)
		findBestFitness<  32><<<findBestFitnessGrid,  32,  32*sizeof(float)>>>(g_fitnesses, g_globalBestFitness, g_globalBestID, solution_num);
	else if(findBestFitnessBlock.x <= 64)
		findBestFitness<  64><<<findBestFitnessGrid,  64,  64*sizeof(float)>>>(g_fitnesses, g_globalBestFitness, g_globalBestID, solution_num);
	else if(findBestFitnessBlock.x <= 128)
		findBestFitness< 128><<<findBestFitnessGrid, 128, 128*sizeof(float)>>>(g_fitnesses, g_globalBestFitness, g_globalBestID, solution_num);
	else if(findBestFitnessBlock.x <= 256)
		findBestFitness< 256><<<findBestFitnessGrid, 256, 256*sizeof(float)>>>(g_fitnesses, g_globalBestFitness, g_globalBestID, solution_num);
	else if(findBestFitnessBlock.x <= 512)
		findBestFitness< 512><<<findBestFitnessGrid, 512, 512*sizeof(float)>>>(g_fitnesses, g_globalBestFitness, g_globalBestID, solution_num);
	else if(findBestFitnessBlock.x <= 1024)
		findBestFitness<1024><<<findBestFitnessGrid,1024,1024*sizeof(float)>>>(g_fitnesses, g_globalBestFitness, g_globalBestID, solution_num);
	optimizerCudaCheckError(""h_cudafindBestFitness: execution failed\n"", __FILE__, __LINE__);
}
",1.7062146892655368,-2.6115245422753346,7e9a924c2cbc7d00fa2ac14c40474e9f083bb59409647be4f88ce4cfece22943,-1.7924631940131326,-1.7924631940131326,True,13,114,51,True,True,low,2,rq3g_cuda_002
dorn_cuda_016,Dorn,cuda,"        p44, p45, p46, p47, \
        b0, b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15); \
  CUDA_GENERIC_MD4(b0, b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15,\
        a, b, c, d, (pass_length * 4)); \
  checkDuplicatedHashMultiLong(pass_length, sharedBitmap, DEVICE_HashTable, numberOfPasswords, \
		DEVICE_Hashes_32, success, OutputPassword, \
		p0, p1, p2, p3, p4, p5, p6, p7, p8, p9, p10, p11, p12, p13, p14, p15, \
                p16, p17, p18, p19, p20, p21, p22, p23, p24, p25, p26, p27, p28, p29, \
                p30, p31, p32, p33, p34, p35, p36, p37, p38, p39, p40, p41, p42, p43, \
                p44, p45, p46, p47, \
		a, b, c, d, b0, b1, b2, b3, b4, b5); \
  password_count++; \
  incrementCounters##length##Multi(); \
  } \
}


DUPLICATEDNTLM_CUDA_KERNEL_CREATE_LONG(1)
DUPLICATEDNTLM_CUDA_KERNEL_CREATE_LONG(2)
DUPLICATEDNTLM_CUDA_KERNEL_CREATE_LONG(3)
DUPLICATEDNTLM_CUDA_KERNEL_CREATE_LONG(4)
DUPLICATEDNTLM_CUDA_KERNEL_CREATE_LONG(5)
DUPLICATEDNTLM_CUDA_KERNEL_CREATE_LONG(6)
DUPLICATEDNTLM_CUDA_KERNEL_CREATE_LONG(7)
DUPLICATEDNTLM_CUDA_KERNEL_CREATE_LONG(8)
DUPLICATEDNTLM_CUDA_KERNEL_CREATE_LONG(9)
DUPLICATEDNTLM_CUDA_KERNEL_CREATE_LONG(10)
DUPLICATEDNTLM_CUDA_KERNEL_CREATE_LONG(11)
DUPLICATEDNTLM_CUDA_KERNEL_CREATE_LONG(12)
DUPLICATEDNTLM_CUDA_KERNEL_CREATE_LONG(13)
",1.71900826446281,-2.589813763677307,6cd79f94e33bd25926c0da40e1e321a4ff0a218780a0058ac5234f44d893174d,-1.7724124586692782,-1.7724124586692782,True,17,123,17,True,True,low,3,rq3g_cuda_003
dorn_cuda_050,Dorn,cuda,"                    displacement.z+=nodeCoefficient.z * basis;
                    basis = xFirst.z * tempBasis.x;
                    Tx_x+=nodeCoefficient.x * basis;
                    Ty_x+=nodeCoefficient.y * basis;
                    Tz_x+=nodeCoefficient.z * basis;
                    basis = xBasis.z * tempBasis.y;
                    Tx_y+=nodeCoefficient.x * basis;
                    Ty_y+=nodeCoefficient.y * basis;
                    Tz_y+=nodeCoefficient.z * basis;
                    basis = xBasis.z * tempBasis.z;
                    Tx_z+=nodeCoefficient.x * basis;
                    Ty_z+=nodeCoefficient.y * basis;
                    Tz_z+=nodeCoefficient.z * basis;
                    nodeCoefficient = tex1Dfetch(controlPointTexture,indexXYZ);
                    basis = xBasis.w * tempBasis.x;
                    displacement.x+=nodeCoefficient.x * basis;
                    displacement.y+=nodeCoefficient.y * basis;
                    displacement.z+=nodeCoefficient.z * basis;
                    basis = xFirst.w * tempBasis.x;
                    Tx_x+=nodeCoefficient.x * basis;
                    Ty_x+=nodeCoefficient.y * basis;
                    Tz_x+=nodeCoefficient.z * basis;
                    basis = xBasis.w * tempBasis.y;
                    Tx_y+=nodeCoefficient.x * basis;
                    Ty_y+=nodeCoefficient.y * basis;
                    Tz_y+=nodeCoefficient.z * basis;
                    basis = xBasis.w * tempBasis.z;
                    Tx_z+=nodeCoefficient.x * basis;
                    Ty_z+=nodeCoefficient.y * basis;
                    Tz_z+=nodeCoefficient.z * basis;
",1.7327935222672064,-2.5664200933785017,9232b7abdefe552cc875b1983be20ed1b53045a9dab9f428c85b475ae375bc3b,-1.7508075084016104,-1.7508075084016104,False,0,131,60,True,True,low,4,rq3g_cuda_004
dorn_cuda_025,Dorn,cuda,"	// Bind Symbols
	CUDA_SAFE_CALL(cudaMemcpyToSymbol(c_VoxelNumber,&voxelNumber,sizeof(int)));
	CUDA_SAFE_CALL(cudaMemcpyToSymbol(c_Binning,&binning,sizeof(int)));
	CUDA_SAFE_CALL(cudaMemcpyToSymbol(c_Entropies,&entropies_h,sizeof(float4)));
	CUDA_SAFE_CALL(cudaMemcpyToSymbol(c_NMI,&NMI,sizeof(float)));
    CUDA_SAFE_CALL(cudaMemcpyToSymbol(c_ActiveVoxelNumber,&activeVoxelNumber,sizeof(int)));

	// Texture binding
	CUDA_SAFE_CALL(cudaBindTexture(0, targetImageTexture, *targetImageArray_d, voxelNumber*sizeof(float)));
	CUDA_SAFE_CALL(cudaBindTexture(0, resultImageTexture, *resultImageArray_d, voxelNumber*sizeof(float)));
	CUDA_SAFE_CALL(cudaBindTexture(0, resultImageGradientTexture, *resultGradientArray_d, voxelNumber*sizeof(float4)));
    CUDA_SAFE_CALL(cudaBindTexture(0, histogramTexture, *logJointHistogram_d, binNumber*sizeof(float)));
    CUDA_SAFE_CALL(cudaBindTexture(0, maskTexture, *mask_d, activeVoxelNumber*sizeof(int)));

    CUDA_SAFE_CALL(cudaMemset(*voxelNMIGradientArray_d, 0, voxelNumber*sizeof(float4)));

	const unsigned int Grid_reg_getVoxelBasedNMIGradientUsingPW = 
		(unsigned int)ceil((float)activeVoxelNumber/(float)Block_reg_getVoxelBasedNMIGradientUsingPW);
	dim3 B1(Block_reg_getVoxelBasedNMIGradientUsingPW,1,1);
	dim3 G1(Grid_reg_getVoxelBasedNMIGradientUsingPW,1,1);

	reg_getVoxelBasedNMIGradientUsingPW_kernel <<< G1, B1 >>> (*voxelNMIGradientArray_d);
	CUDA_SAFE_CALL(cudaThreadSynchronize());
#ifndef NDEBUG
	printf(""[DEBUG] reg_getVoxelBasedNMIGradientUsingPW_kernel: %s - Grid size [%i %i %i] - Block size [%i %i %i]\n"",
	       cudaGetErrorString(cudaGetLastError()),G1.x,G1.y,G1.z,B1.x,B1.y,B1.z);
#endif
}

",1.8345864661654128,-2.393676819216449,200b49991d15f094cc17d9aaf911f2428f2b80de22923f348c08025edde51eea,-1.591272480350204,-1.591272480350204,True,3,85,37,True,True,low,5,rq3g_cuda_005
dorn_cuda_093,Dorn,cuda,"    password_index = ((blockIdx.x*blockDim.x + threadIdx.x) + (PasswordSpaceOffset * MD5_Generate_Device_Number_Of_Threads)); \
    if (password_index >= MD5_Generate_Device_Number_Of_Chains) { \
        return; \
    } \
    clearB0toB15(b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15); \
    LoadMD5RegistersFromGlobalMemory(b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15, \
        InitialArray32, MD5_Generate_Device_Number_Of_Chains, password_index, pass_length); \
    for (PassCount = 0; PassCount < StepsToRun; PassCount++) { \
        CurrentStep = PassCount + StartChainIndex; \
        padMDHash(pass_length, b0, b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15); \
        CUDA_MD5(b0, b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15, a, b, c, d); \
        reduceSingleCharsetNormal(b0, b1, b2, a, b, c, d, CurrentStep, charset, charset_offset, pass_length, MD5_Generate_Device_Table_Index); \
        charset_offset++; \
        if (charset_offset >= MD5_Generate_Device_Charset_Length) { \
            charset_offset = 0; \
        } \
    } \
    if (CurrentStep >= (MD5_Generate_Device_Chain_Length - 1)) { \
        OutputArray32[0 * MD5_Generate_Device_Number_Of_Chains + password_index] = a; \
        OutputArray32[1 * MD5_Generate_Device_Number_Of_Chains + password_index] = b; \
        OutputArray32[2 * MD5_Generate_Device_Number_Of_Chains + password_index] = c; \
        OutputArray32[3 * MD5_Generate_Device_Number_Of_Chains + password_index] = d; \
    } \
    else { \
    SaveMD5RegistersIntoGlobalMemory(b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15, \
        InitialArray32, MD5_Generate_Device_Number_Of_Chains, password_index, pass_length); \
    } \
}


",1.8972972972972968,-2.2872561393510744,781333ff54e90a0bf6a846dcd32f3723ad6ededdcbbe108a2233d9adbe4856d3,-1.492988907632662,-1.492988907632662,True,1,151,39,True,True,low,6,rq3g_cuda_006
dorn_cuda_084,Dorn,cuda,"        e = InitialArray32[4]; \
    } else { \
        a = OutputArray32[0 * SHA1_Candidate_Device_Chain_Length + chain_index]; \
        b = OutputArray32[1 * SHA1_Candidate_Device_Chain_Length + chain_index]; \
        c = OutputArray32[2 * SHA1_Candidate_Device_Chain_Length + chain_index]; \
        d = OutputArray32[3 * SHA1_Candidate_Device_Chain_Length + chain_index]; \
        e = OutputArray32[4 * SHA1_Candidate_Device_Chain_Length + chain_index]; \
    } \
    step_to_calculate = chain_index + StartStep; \
    charset_offset = step_to_calculate % SHA1_Candidate_Device_Charset_Length; \
    clearB0toB15(b0,b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15); \
    reduceSingleCharsetNormal(b0, b1, b2, a, b, c, d, step_to_calculate, charset, charset_offset, pass_length, SHA1_Candidate_Device_Table_Index); \
    step_to_calculate++; \
    charset_offset++; \
    if (charset_offset >= SHA1_Candidate_Device_Charset_Length) { \
        charset_offset = 0; \
    } \
    if ((step_to_calculate + StepsToRun) > SHA1_Candidate_Device_Chain_Length) { \
        last_step_for_iteration = SHA1_Candidate_Device_Chain_Length - 1; \
    } else { \
        last_step_for_iteration = (step_to_calculate + StepsToRun - 1); \
    } \
    for (i = step_to_calculate; i <= last_step_for_iteration; i++) { \
        b15 = ((pass_length * 8) & 0xff) << 24 | (((pass_length * 8) >> 8) & 0xff) << 16; \
        SetCharacterAtPosition(0x80, pass_length, b0, b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15 ); \
        SHA_TRANSFORM(a, b, c, d, e, b0, b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15); \
        a = reverse(a);b = reverse(b);c = reverse(c);d = reverse(d);e = reverse(e); \
        clearB0toB15(b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15); \
        reduceSingleCharsetNormal(b0, b1, b2, a, b, c, d, i, charset, charset_offset, pass_length, SHA1_Candidate_Device_Table_Index); \
        charset_offset++; \
        if (charset_offset >= SHA1_Candidate_Device_Charset_Length) { \
            charset_offset = 0; \
        } \
    } \
    OutputArray32[0 * SHA1_Candidate_Device_Chain_Length + chain_index] = a; \
    OutputArray32[1 * SHA1_Candidate_Device_Chain_Length + chain_index] = b; \
    OutputArray32[2 * SHA1_Candidate_Device_Chain_Length + chain_index] = c; \
    OutputArray32[3 * SHA1_Candidate_Device_Chain_Length + chain_index] = d; \
    OutputArray32[4 * SHA1_Candidate_Device_Chain_Length + chain_index] = e; \
}

CREATE_SHA1_CH_KERNEL(6)
CREATE_SHA1_CH_KERNEL(7)
CREATE_SHA1_CH_KERNEL(8)
CREATE_SHA1_CH_KERNEL(9)
CREATE_SHA1_CH_KERNEL(10)


extern ""C"" void LaunchSHA1CandidateHashKernel(int PasswordLength, int CUDA_Blocks, int CUDA_Threads,
        unsigned char *DEVICE_End_Hashes, uint32_t ThreadSpaceOffset, uint32_t StartStep, uint32_t StepsToRun) {
",1.9523809523809523,-2.1937788258205893,9c16bcd442f63a27c005546a07614b5187ea09681f39e61ecec5541914cffb92,-1.4066590293285952,-1.4066590293285952,True,8,201,86,True,True,low,7,rq3g_cuda_007
dorn_cuda_092,Dorn,cuda,"  CUDA_MD4(b0, b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15, a, b, c, d); \
  checkHashMulti(pass_length, sharedBitmap, DEVICE_HashTable, numberOfPasswords, \
		DEVICE_Hashes_32, success, OutputPassword, \
		p0, p1, p2, p3, p4, p5, p6, p7, p8, p9, p10, p11, p12, p13, p14, p15, \
		a, b, c, d, b0, b1, b2, b3, b4, b5); \
  password_count++; \
  incrementCounters##length##Multi(); \
  } \
}

",1.962962962962963,-2.1758210864611502,6c7256e79126f430937fca1e3720e630687624b00859cbe972bebf9dec313383,-1.3900743694259443,-1.3900743694259443,True,2,57,3,True,True,low,8,rq3g_cuda_008
dorn_cuda_047,Dorn,cuda,"__host__ void h_cudaPSO_firstBestsUpdate(float* g_bestFitnesses, float* g_fitnesses, uint32_t* g_localBestIDs, int particlesNumber, dim3 bestsUpdateGrid, dim3 bestsUpdateBlock)
{
	const unsigned int bestsUpdateSharedAmount = (particlesNumber + 2) * sizeof(float);
	g_firstBestsUpdate<<<bestsUpdateGrid, bestsUpdateBlock, bestsUpdateSharedAmount>>>(g_bestFitnesses, g_fitnesses, g_localBestIDs);
	optimizerCudaCheckError(""h_cudaPSO_firstBestsUpdate: execution failed\n"", __FILE__, __LINE__);
}

__host__ void h_cudaPSO_positionsUpdate(float W, float C1, float C2, float* g_positions, float* g_velocities, float* g_bestPositions,
										 uint32_t* g_updateFlags,  uint32_t* g_localBestIDs, curandState* devStates, 
										 float2* g_bounds, dim3 updateGrid, dim3 updateBlock)
{
	g_positionsUpdate<<<updateGrid, updateBlock>>>(W, C1, C2, g_positions, g_velocities, g_bestPositions, g_updateFlags, g_localBestIDs, devStates, g_bounds);
	optimizerCudaCheckError(""h_cudaPSO_Optimize: g_positionsUpdate() execution failed\n"", __FILE__, __LINE__);
}

__host__ void h_cudaPSO_bestsUpdate(float* g_bestFitnesses,float*  g_fitnesses, uint32_t* g_localBestIDs, uint32_t* g_updateFlags,
										int particlesNumber, dim3 bestsUpdateGrid, dim3 bestsUpdateBlock)
{
	const unsigned int bestsUpdateSharedAmount = (particlesNumber + 2) * sizeof(float);
	g_bestsUpdate<<<bestsUpdateGrid, bestsUpdateBlock, bestsUpdateSharedAmount>>>(g_bestFitnesses, g_fitnesses, g_localBestIDs, g_updateFlags);
	optimizerCudaCheckError(""h_cudaPSO_bestsUpdate: execution failed\n"", __FILE__, __LINE__);
}

/// Initialization of the GPU...
/// Here global variables pointing to device memory are initialized...
/// @param particlesNumber number of particles in the swarm
/// @param problemDimension dimensionality of the problem
/// @param numberOfGenerations number of generation to be performed during the optimization
__host__ void h_cudaPSO_BindTextures(int swarmsNumber, int particlesNumber, int problemDimension,
									float* g_positions, float* g_bestPositions, float* g_velocities, 
									float* g_fitnesses, float* g_bestFitnesses, uint32_t* g_localBestIDs, uint32_t* g_update)
{
	int dim, actualParticleSize = iAlignUp(problemDimension, 16);


	dim = swarmsNumber * particlesNumber * actualParticleSize * sizeof(float);
	
	cudaBindTexture(NULL, t_texPositions, g_positions, dim);
	optimizerCudaCheckError(""h_init_cudaPSO: cudaBindTexture() execution failed\n"", __FILE__, __LINE__);
	cudaBindTexture(NULL, t_texBestPositions, g_bestPositions, dim);
	optimizerCudaCheckError(""h_cudaPSOBindBestPositionsTextures: cudaBindTexture() execution failed\n"", __FILE__, __LINE__);
	cudaBindTexture(NULL, t_texVelocities, g_velocities, dim);
	optimizerCudaCheckError(""h_cudaPSOBindPositionsTextures: cudaBindTexture() execution failed\n"", __FILE__, __LINE__);

	dim = swarmsNumber * particlesNumber * sizeof(float);

	cudaBindTexture(NULL, t_texFitnesses, g_fitnesses, dim);
	optimizerCudaCheckError(""h_cudaPSOBindFitnessesTextures: cudaBindTexture() execution failed\n"", __FILE__, __LINE__);
	cudaBindTexture(NULL, t_texBestFitnesses, g_bestFitnesses, dim);
	optimizerCudaCheckError(""h_cudaPSOBindBestFitnessesTextures: cudaBindTexture() execution failed\n"", __FILE__, __LINE__);
",1.975,-2.155394157939788,4469c237502cab19d7044d158f97897659bce0a5b159b77b35e49a736c8ae416,-1.3712093187866796,-1.3712093187866796,True,8,145,31,True,True,low,9,rq3g_cuda_009
