rq0_id,language,condition,display_mode,style,font_size,wrap_column,line_numbers,image_width,image_height,source_lines,visual_rows,continuation_rows,char_width,glyph_height,row_height,background,remove_indent,remove_blank_lines,pixel_std,gradient_energy,nonblank,source_sha256,image_sha256,image_path
dorn_cuda_000,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,1385,50,65,15,12,15,21,#ffffff,False,False,58.27098846435547,3572.829833984375,True,94c8ae9db3f98efd558cf12ed7e591aa5eec937a1a5aa196629460e3bd7ccce8,6b03e2eecbc91e61f94ff3736275b8f5ce71d47bec1faab51b6d0a27117233e5,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_000.png
dorn_cuda_001,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,314,9,14,5,12,15,21,#ffffff,False,False,61.88313674926758,4306.6572265625,True,6e4391fb0b33d4bc030d5151e9dd566921fe8f8f63b45be956f6140a3bc9f222,0c5ec882eeae886f264e9b3099278b19f65f521d4195181003d5237d447fd78c,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_001.png
dorn_cuda_002,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,209,8,9,1,12,15,21,#ffffff,False,False,48.77259826660156,2498.64794921875,True,b35804c8e217db55a79df216dd893c235088b1b5a4b6c6d37bce2cb20347815f,1aedeaa27a660d29c62c0c4a3f9b180811db59d4092c2d9ce930ff34c8999465,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_002.png
dorn_cuda_003,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,860,30,40,10,12,15,21,#ffffff,False,False,60.56364059448242,3851.291015625,True,1cba40093e12b1dd2603c85d756d8aa9d5309f6e19ebfd138ce4251058dc456d,b2350619fdcbf20e2e581483daac9d40817eea2d34656152d3eea9c989b8317f,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_003.png
dorn_cuda_004,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,1112,49,52,3,12,15,21,#ffffff,False,False,49.62593078613281,2523.08154296875,True,12403f2a4a74ea6afe75e153b442cac7bfcc02cf9c93a63cb795d63637a0f6bd,1c591a0330065a028d8119569a77cdb2c9cfb7e354c8d772bc71e681d04b15f7,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_004.png
dorn_cuda_005,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,692,29,32,3,12,15,21,#ffffff,False,False,57.31197738647461,3537.82666015625,True,da8b73b1ebd36bf73d248d21be70b46826b247d34fe1f13897d3befe7201b557,23b84b7c6ad34d92545777222cb371fd89dcb982b6344e830ca0ac56fc6f4d72,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_005.png
dorn_cuda_006,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,314,10,14,4,12,15,21,#ffffff,False,False,60.21824645996094,3805.4482421875,True,1e8b4b341c6913ebd1ddd99ab67bbea17a4140a0baf380eb32ec834ceb2b4eb9,510fb96b09f93efb9a83e13cc4fbeb6189237c60aa6543d3cdb00528de707366,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_006.png
dorn_cuda_007,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,1196,49,56,7,12,15,21,#ffffff,False,False,56.28623962402344,3345.04443359375,True,bad989290e4d08ad5c75e9e5f19bd135e0d3bf0d5d26a8c94017d91fde8bb0e0,6b014fa144a6e34c93b2b84bc65f487f5680372173c2b932429f5f4e0729b24e,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_007.png
dorn_cuda_008,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,272,10,12,2,12,15,21,#ffffff,False,False,57.37471008300781,3463.6513671875,True,d2ecfd2f351bf7e214065d82cbae2109a111fb984d09d32bedeba3799fe249d1,7f643ffa97babdd64b0eff71260b3d79f5b477b4389316fb97e31300852b879f,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_008.png
dorn_cuda_009,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,755,29,35,6,12,15,21,#ffffff,False,False,52.088035583496094,2848.32421875,True,7ee402ef526723c201c553033797577bdb667176c439ec3be711ae344ac275e0,f1e2821fb0f57f8d972f5bfca724239101759b15671e910c26ea6b248ec8b278,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_009.png
dorn_cuda_010,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,1532,50,72,22,12,15,21,#ffffff,False,False,65.11861419677734,4505.01416015625,True,24ae6aef6f48d58f4da24b97f3f2576022a24d60b8b05e53b4258961f9b78c4b,be52eb1de2b79f3d48ec00631251945cc041d79fdc76fea396c95ac4bd6ef6f6,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_010.png
dorn_cuda_011,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,230,9,10,1,12,15,21,#ffffff,False,False,60.578433990478516,3896.325927734375,True,fc08bde1280b19d23afd457d99b23f36793dd3b37ae5a4689c8a35f950421722,b6b868ec4f5a63939457737a2d3bf8a219ae2ce0bc1f87e9cd31a93eebe1179b,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_011.png
dorn_cuda_012,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,251,8,11,3,12,15,21,#ffffff,False,False,47.24713134765625,2300.52294921875,True,2fa9a5bc663a9101a01a271cbaddc8d5cbf2fd83add1272b57f9a256a6ef8d11,addbc388a561f5df1db4e6cc2fca0c45eb6b99f9b19a34fb4f3076a0daa4830f,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_012.png
dorn_cuda_013,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,755,29,35,6,12,15,21,#ffffff,False,False,55.07546615600586,3219.84228515625,True,8001ef700dcac4f80f46bbe1f00242ac5aa5d25405126075c4615b028619edbd,dcf696dcdf8415e7ef2496b23e487efc02261413fe9fc00d14505805a7d5dc26,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_013.png
dorn_cuda_014,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,776,30,36,6,12,15,21,#ffffff,False,False,61.878822326660156,4150.1767578125,True,75512ae4af74450cf993e2db6cbd4c6b7ac03a3bbc86749e4dd58deceb0709bc,89f8a25a2d4b22e811ca2004460bff54d28f3a5eba92f67c677600ee559e6ecf,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_014.png
dorn_cuda_015,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,797,29,37,8,12,15,21,#ffffff,False,False,54.946136474609375,3182.7626953125,True,06d5ccaed70f42272656c0cd771fdf925e7b773cdace6bce6120b275d9571d31,dbf5a1a8669e84bda0a41ffc72b36035005a57d28fce8d6e36cac19bac52550a,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_015.png
dorn_cuda_016,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,776,30,36,6,12,15,21,#ffffff,False,False,69.25532531738281,5082.98828125,True,61284a8956c1df35bf7fcedd16506ad6c37d4246de131746361503c3b3af9154,0890641a7e8a47bb93afd2d8876d259f69511a7f32938bab26729dd065111fcd,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_016.png
dorn_cuda_017,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,1070,49,50,1,12,15,21,#ffffff,False,False,49.17106628417969,2490.4033203125,True,8f3f810b852c10577705efeb8c75ad5245000079e553e064535f12c7987be1eb,8fb5487f7df984753459d23d3ebc57654b4720257b7cef0cbd5e1ca7d1ea791f,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_017.png
dorn_cuda_018,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,776,30,36,6,12,15,21,#ffffff,False,False,57.959842681884766,3462.310791015625,True,778b0352d02b51fdbfd2b8ac282f4d923f0aa7c18ce482f9f4ab45228e525c87,e1583219c17dc32547689566aee8b038c40ecc6ed768498d2b79697c505ea009,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_018.png
dorn_cuda_019,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,860,30,40,10,12,15,21,#ffffff,False,False,59.00690841674805,3684.337890625,True,c2576edc3810662cac1ca021692350924c420581e51970557355b909a8259a65,e38d921e843f31eb0a9d422d8e79afa7cc1a523290e4969105868c3d880f9dd8,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_019.png
dorn_cuda_020,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,1364,48,64,16,12,15,21,#ffffff,False,False,65.07333374023438,4560.40625,True,3b1e514930d083aa4fbead5f7ad0a74a18559be6cf5d27463dea46eb7f75965d,3a1ca8d1de9334a233f53b9bfd1e3fd0486372de380d77a860d2b31637d96bed,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_020.png
dorn_cuda_021,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,356,10,16,6,12,15,21,#ffffff,False,False,61.87589645385742,4219.283203125,True,d431df5d89d5928d26b6e0ebb01126795011616b8b18375f3aca3f1d5fe7bb0e,1731032e3d8ef7493e0c64695b32f5d5bc3bac4ff6455be429a64a63ab81c5d3,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_021.png
dorn_cuda_022,cuda,mono_light__fs20__wrap60__lnon,mono_light,bw,20,60,True,788,734,30,34,4,12,15,21,#ffffff,False,False,47.0795783996582,2291.8583984375,True,0f363933056a9e8f6399a3b0a37a140630783878906f9dd3dd68a9f4ae3e4a18,46882d84331df24fc5ef4198ea948b2c83b3de8c0d2a39fb65bdc4a408fbf5a3,results/grounded_protocol_3lang_20260721/rendered/grid/mono_light__fs20__wrap60__lnon/dorn_cuda_022.png
