experiment,condition,model,model_revision,language,pair_id,source_pair_id,difficulty_rank,abs_z_diff,snippet_i,snippet_j,gold_snippet,selected_ab,selected_ba,parsed_both,strict_valid,strict_correct,margin_ab,margin_ba,b_position,c_content,is_boundary,is_exact_tie,first_pos_ab,first_pos_ba,z_i,z_j,human_score_i_z,human_score_j_z,human_preference,dataset_name_i,dataset_name_j,preference_score_basis,effective_correct,debiased_selected,debiased_correct
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-3-12b-it,96b6f1eccf38110c56df3a15bffe176da04bfd80,java,u3_0000,full_rq0_seed42__rq0_0000__rq0_0242,far,1.0075353107787306,rq0_0000,rq0_0242,rq0_0242,rq0_0000,rq0_0000,True,True,False,4.75,-6.25,-0.75,5.5,False,False,True,False,-0.4688692505494623,0.5386660602292682,-0.4688692505494623,0.5386660602292682,rq0_0242,Buse,Scalabrino,human_score_z_within_dataset,0,rq0_0000,False
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-3-12b-it,96b6f1eccf38110c56df3a15bffe176da04bfd80,java,u3_0001,full_rq0_seed42__rq0_0001__rq0_0211,far,2.9133804128343064,rq0_0001,rq0_0211,rq0_0001,rq0_0001,rq0_0001,True,True,True,5.0,-8.75,-1.875,6.875,False,False,True,False,0.7294408425569501,-2.183939570277356,0.7294408425569501,-2.183939570277356,rq0_0001,Buse,Scalabrino,human_score_z_within_dataset,1,rq0_0001,True
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-3-12b-it,96b6f1eccf38110c56df3a15bffe176da04bfd80,java,u3_0002,full_rq0_seed42__rq0_0002__rq0_0282,far,2.9336483871789394,rq0_0002,rq0_0282,rq0_0282,rq0_0002,rq0_0002,True,True,False,6.5,-6.75,-0.125,6.625,False,False,True,False,-0.9429259906794712,1.990722396499468,-0.9429259906794712,1.990722396499468,rq0_0282,Buse,Scalabrino,human_score_z_within_dataset,0,rq0_0002,False
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-3-12b-it,96b6f1eccf38110c56df3a15bffe176da04bfd80,java,u3_0003,full_rq0_seed42__rq0_0003__rq0_0077,far,1.092964150855298,rq0_0003,rq0_0077,rq0_0003,rq0_0003,rq0_0003,True,True,True,8.5,-7.0,0.75,7.75,False,False,True,False,1.1903293399055694,0.0973651890502713,1.1903293399055694,0.0973651890502713,rq0_0003,Buse,Buse,human_score_z_within_dataset,1,rq0_0003,True
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-3-12b-it,96b6f1eccf38110c56df3a15bffe176da04bfd80,java,u3_0004,full_rq0_seed42__rq0_0003__rq0_0269,far,1.3776914478114004,rq0_0003,rq0_0269,rq0_0003,rq0_0003,rq0_0003,True,True,True,5.25,-10.25,-2.5,7.75,False,False,True,False,1.1903293399055694,-0.187362107905831,1.1903293399055694,-0.187362107905831,rq0_0003,Buse,Scalabrino,human_score_z_within_dataset,1,rq0_0003,True
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-3-12b-it,96b6f1eccf38110c56df3a15bffe176da04bfd80,java,u3_0005,full_rq0_seed42__rq0_0004__rq0_0077,far,1.3431607637016914,rq0_0004,rq0_0077,rq0_0004,rq0_0004,rq0_0004,True,True,True,8.75,-9.75,-0.5,9.25,False,False,True,False,1.4405259527519627,0.0973651890502713,1.4405259527519627,0.0973651890502713,rq0_0004,Buse,Buse,human_score_z_within_dataset,1,rq0_0004,True
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-3-12b-it,96b6f1eccf38110c56df3a15bffe176da04bfd80,java,u3_0006,full_rq0_seed42__rq0_0004__rq0_0129,far,1.3041732782467568,rq0_0004,rq0_0129,rq0_0004,rq0_0004,rq0_0004,True,True,True,9.5,-11.0,-0.75,10.25,False,False,True,False,1.4405259527519627,0.1363526745052059,1.4405259527519627,0.1363526745052059,rq0_0004,Buse,Dorn,human_score_z_within_dataset,1,rq0_0004,True
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-3-12b-it,96b6f1eccf38110c56df3a15bffe176da04bfd80,java,u3_0007,full_rq0_seed42__rq0_0005__rq0_0042,far,3.0023593541567246,rq0_0005,rq0_0042,rq0_0042,rq0_0042,rq0_0005,True,False,False,-8.25,-0.25,-4.25,-4.0,False,False,False,False,-1.7461888003442083,1.256170553812516,-1.7461888003442083,1.256170553812516,rq0_0042,Buse,Buse,human_score_z_within_dataset,0,rq0_0042,True
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-3-12b-it,96b6f1eccf38110c56df3a15bffe176da04bfd80,java,u3_0008,full_rq0_seed42__rq0_0005__rq0_0049,far,2.752162741310328,rq0_0005,rq0_0049,rq0_0049,rq0_0049,rq0_0049,True,True,True,-8.75,8.25,-0.25,-8.5,False,False,False,True,-1.7461888003442083,1.00597394096612,-1.7461888003442083,1.00597394096612,rq0_0049,Buse,Buse,human_score_z_within_dataset,1,rq0_0049,True
grid,monokai_dark__fs20__wrap80__lnon,google/gemma-3-12b-it,96b6f1eccf38110c56df3a15bffe176da04bfd80,java,u3_0009,full_rq0_seed42__rq0_0005__rq0_0113,far,1.3586113334790018,rq0_0005,rq0_0113,rq0_0113,rq0_0005,rq0_0113,True,False,False,7.5,10.5,9.0,-1.5,False,False,True,True,-1.7461888003442083,-0.3875774668652065,-1.7461888003442083,-0.3875774668652065,rq0_0113,Buse,Dorn,human_score_z_within_dataset,0,rq0_0113,True
