model_key,model,concurrency_group,pair_id,language,difficulty,abs_z_diff,human_delta,valid,correct,model_sign,ab_correct,ba_correct,margin_ab,margin_ba,content_margin,position_margin,debiased_correct,content_tie,ab_first_choice,ba_first_choice
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0000,java,easy,1.2114783358878012,-1.2114783358878012,True,True,-1.0,True,True,-2.125,1.375,-1.75,-0.375,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0001,java,easy,1.567020890985308,1.567020890985308,False,False,,False,True,-1.25,-0.125,-0.5625,-0.6875,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0002,java,easy,2.257351190861419,-2.257351190861419,False,False,,True,False,-1.25,-0.5,-0.375,-0.875,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0003,java,easy,1.2409688014370877,-1.2409688014370877,True,True,-1.0,True,True,-1.875,0.375,-1.125,-0.75,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0004,java,easy,1.0075353107787306,-1.0075353107787306,False,False,,True,False,-1.25,-0.875,-0.1875,-1.0625,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0005,java,easy,1.0075353107787306,-1.0075353107787306,False,False,,True,False,-1.5,-0.125,-0.6875,-0.8125,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0006,java,easy,1.189042352812505,-1.189042352812505,False,False,,True,False,-1.375,-0.5,-0.4375,-0.9375,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0007,java,easy,1.7847129794108736,1.7847129794108736,True,False,-1.0,False,False,-1.0,0.25,-0.625,-0.375,False,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0008,java,easy,2.042667076721683,2.042667076721683,True,False,-1.0,False,False,-0.375,0.25,-0.3125,-0.0625,False,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0009,java,easy,2.9133804128343064,2.9133804128343064,True,True,1.0,True,True,0.25,-1.75,1.0,-0.75,True,False,True,False
