claim_id,task,scope,metric,value,ci_low,ci_high,p_value,source,description
CLM-001,Task 0,margin-diagnostic set,boundary_count,5577.0000,,,,pair_level_results.csv,Count of |c|==|b| in 5-model battery (45k rows)
CLM-002,Task 0,margin-diagnostic set,boundary_valid_count,2576.0000,,,,pair_level_results.csv,Count of valid pairs on |c|==|b| boundary in 5-model battery
CLM-003,Task 0,primary RQ1 set,boundary_count,1150.0000,,,,A+B primary set,Count of |c|==|b| in primary 5 models (45k rows)
CLM-004,Task 0,primary RQ1 set,boundary_valid_count,924.0000,,,,A+B primary set,Count of valid pairs on |c|==|b| boundary in primary 5 models
CLM-005,Task 0b,gpt-5.4-mini pilot,java_pairs,300.0000,,,,openai_vlm_pilot_20260707,"Unique Java pairs in pilot (100 easy, 100 med, 100 hard)"
CLM-006,Task 0b,gpt-5.4 pilot,java_pairs,300.0000,,,,openai_vlm_pilot_20260708,"Unique Java pairs in pilot (100 easy, 100 med, 100 hard)"
CLM-007,Task 0b,gpt-5.5 pilot,java_pairs,300.0000,,,,openai_vlm_pilot_20260708_gpt55_fixed,"Unique Java pairs in pilot (100 easy, 100 med, 100 hard)"
CLM-010,Task 1,margin-diagnostic set,boundary_equiv_m0,1.0000,,,0.0000e+00,pair_level_results.csv,Equivalence of |c|==|b| with (m_AB==0 or m_BA==0) is 100%
CLM-011,Task 1,Qwen2.5-VL-7B pooled,valid_acc_permissive,71.1680,,,,pair_level_results.csv,Permissive valid accuracy (matches abstract 71.17%)
CLM-012,Task 1,Qwen2.5-VL-7B pooled,valid_acc_conservative,72.5527,,,,pair_level_results.csv,Conservative valid accuracy (boundary invalid)
CLM-013,Task 1,Qwen2.5-VL-7B pooled,swap_err_permissive,45.7778,,,,pair_level_results.csv,Permissive strict-swap error (matches abstract 45.78%)
CLM-014,Task 1,Qwen2.5-VL-7B pooled,swap_err_conservative,52.5556,,,,pair_level_results.csv,Conservative strict-swap error (+6.78%p increase)
CLM-015,Task 1,Pooled 5 models,valid_acc_permissive,56.9771,,,,pair_level_results.csv,Pooled permissive valid accuracy
CLM-016,Task 1,Pooled 5 models,valid_acc_conservative,57.5503,,,,pair_level_results.csv,Pooled conservative valid accuracy
CLM-017,Task 1,Pooled 5 models,eff_acc_permissive,36.3311,,,,pair_level_results.csv,Pooled permissive effective accuracy
CLM-018,Task 1,Pooled 5 models,eff_acc_conservative,33.4022,,,,pair_level_results.csv,Pooled conservative effective accuracy (-2.93%p)
CLM-019,Task 1,Pooled 5 models,swap_err_permissive,36.2356,,,,pair_level_results.csv,Pooled permissive strict-swap error
CLM-020,Task 1,Pooled 5 models,swap_err_conservative,41.9600,,,,pair_level_results.csv,Pooled conservative strict-swap error (+5.72%p)
CLM-021,Task 2,4 models (w/o InternVL3),spearman_rho,0.4000,-1.0000,1.0000,6.0000e-01,rq2_eval_reduced + rq1,Spearman rho between RQ1 S and max |ΔS| in reduced grid
CLM-022,Task 2,4 models (w/o InternVL3),monte_carlo_p,0.6141,,,,10k MC reps,Percentile 38.59%tile in null distribution (p=0.6141)
CLM-023,Task 2,5 models (with InternVL3),spearman_rho,0.5000,-1.0000,1.0000,3.9100e-01,rq2_eval_reduced + rq1,Spearman rho 5 models
CLM-024,Task 2,5 models (with InternVL3),monte_carlo_p,0.4617,,,,10k MC reps,Percentile 53.83%tile in null distribution (p=0.4617)
CLM-025,Task 2,InternVL3-8B,max_abs_delta_s,15.4700,,,,reduced grid,Max |ΔS| pooled at gaussian_sigma_4
CLM-026,Task 2,Qwen2.5-VL-7B,max_abs_delta_s,10.7700,,,,reduced grid,Max |ΔS| pooled at monokai_dark__fs24__wrap80__lnon
CLM-027,Task 2,InternVL3.5-8B,max_abs_delta_s,28.1300,,,,reduced grid,Max |ΔS| pooled at gaussian_sigma_4
CLM-028,Task 2,Gemma-3-12B,max_abs_delta_s,11.6700,,,,reduced grid,Max |ΔS| pooled at gaussian_sigma_4
CLM-029,Task 2,Gemma4-12B,max_abs_delta_s,3.7000,,,,reduced grid,Max |ΔS| pooled at gaussian_sigma_4
CLM-031,Task 3,InternVL3-8B CUDA Baseline,swap_error,69.4000,,,,A_B_PAIR_LEVEL.csv,Baseline strict-swap error
CLM-032,Task 3,InternVL3-8B CUDA Blur,swap_error,36.2000,,,,A_B_PAIR_LEVEL.csv,Gaussian sigma 4 strict-swap error (-33.20%p drop)
CLM-033,Task 3,InternVL3-8B CUDA Baseline,always_first_rate,69.1000,,,,A_B_PAIR_LEVEL.csv,Always 1st choice rate explaining 99.6% of swap error
CLM-034,Task 3,InternVL3-8B CUDA Blur,always_first_rate,34.7000,,,,A_B_PAIR_LEVEL.csv,Always 1st choice rate in blur condition (halved)
CLM-035,Task 3,InternVL3-8B CUDA Baseline,visual_reg_pseudo_r2,0.2101,,,0.0000e+00,CUDA rendered images,"McFadden pseudo R2 from visual features (area, width)"
CLM-036,Task 3,InternVL3-8B CUDA Blur,visual_reg_pseudo_r2,0.1127,,,0.0000e+00,CUDA rendered images,McFadden pseudo R2 in blur condition (halved)
CLM-037,Task 3,InternVL3-8B CUDA Baseline,visual_reg_auc,0.8291,,,,CUDA rendered images,ROC AUC for predicting choice from visual features
CLM-038,Task 3,InternVL3-8B CUDA Blur,visual_reg_auc,0.7249,,,,CUDA rendered images,ROC AUC in blur condition
CLM-040,Task 4,InternVL3-8B / Qwen2.5 Java Dorn,cell_n_pairs,89.0000,,,,B_DORN_PRIMARY_RESULTS.csv,Exact 89-pair cell in Java Dorn perturbation experiments
CLM-041,Task 4,Qwen2.5-VL-7B pooled,hb1_delta_e,-1.8333,-3.1238,-0.5429,3.8200e-02,A_B_PAIR_LEVEL.csv,"ΔE no_indent vs baseline (TOST p=0.0382, equivalent <3%p)"
CLM-042,Task 4,InternVL3.5-8B pooled,hb1_delta_e,-2.2333,-3.5557,-0.9110,1.2790e-01,InternVL3.5-8B_pair_level.csv,ΔE no_indent vs baseline
CLM-043,Task 4,Gemma-3-12B pooled,hb1_delta_e,-2.4667,-3.9826,-0.9508,2.4530e-01,Gemma-3-12B_pair_level.csv,ΔE no_indent vs baseline
CLM-044,Task 4,Gemma4-12B pooled,hb1_delta_e,-2.8000,-4.1763,-1.4237,3.8790e-01,Gemma4-12B_pair_level.csv,ΔE no_indent vs baseline
CLM-045,Task 4,InternVL3-8B pooled,hb1_delta_e,3.0667,1.7256,4.4077,5.3880e-01,A_B_PAIR_LEVEL.csv,ΔE no_indent vs baseline (+3.07%p due to bias reduction)
CLM-046,Task 4,Cell level (N=1000),mde_pp,3.4000,,,,power calculation,"Minimum Detectable Effect at alpha=0.05, power=0.80 (3.0%~3.8%p)"
CLM-047,Task 4,Pooled level (N=3000),mde_pp,1.9500,,,,power calculation,"Minimum Detectable Effect at alpha=0.05, power=0.80 (1.8%~2.2%p)"
CLM-051,Task 5,Gemma-3-12B blur=4,concordance_sign,-,,,2.5000e-01,Gemma-3-12B_summary_metrics.csv,"All 3 languages show negative ΔE (CUDA -5.0, Java -17.0, Py -0.9)"
CLM-052,Task 5,Gemma4-12B blur=4,concordance_sign,-,,,2.5000e-01,Gemma4-12B_summary_metrics.csv,"All 3 languages show negative ΔE (CUDA -5.5, Java -4.1, Py -0.4)"
CLM-053,Task 5,InternVL3.5-8B blur=4,concordance_sign,-,,,2.5000e-01,InternVL3.5-8B_summary_metrics.csv,"All 3 languages show negative ΔE (CUDA -20.5, Java -17.0, Py -27.7)"
CLM-054,Task 5,InternVL3-8B blur=4,concordance_sign,+,,,2.5000e-01,B_PERTURBATION_RESULTS.csv,"All 3 languages show positive ΔE (CUDA +23.4, Java +2.1, Py +15.3)"
CLM-055,Task 5,Qwen2.5-VL-7B blur=4,concordance_sign,discordant,,,1.0000e+00,B_PERTURBATION_RESULTS.csv,"Discordant ΔE (CUDA -12.6, Java -13.6, Python +0.8)"
CLM-061,Task 6,Cross-language rank,rank_change_count,0.0000,,,,11 models comparison,Rankings of all 11 models (3 ML + 8 VLM) are 100% unchanged after ceiling norm
CLM-062,Task 6,CUDA Best VLM vs ML,norm_gap_pp,-17.9700,,,,norm by 98.7%,Normalized gap between Gemma4-12B (58.83%) and SVR (76.80%)
CLM-063,Task 6,Java Best VLM vs ML,norm_gap_pp,-11.0100,,,,norm by 80.5%,Normalized gap between Gemma4-12B (67.45%) and MLP (78.47%)
CLM-064,Task 6,Python Best VLM vs ML,norm_gap_pp,-6.4800,,,,norm by 98.8%,Normalized gap between Gemma4-12B (58.97%) and Voting (65.45%)
CLM-071,Task 7,Java Within n=1004,buse_pairs,299.0000,,,,rq1_pairs_9000.csv,Within-Buse pair count
CLM-072,Task 7,Java Within n=1004,dorn_pairs,275.0000,,,,rq1_pairs_9000.csv,Within-Dorn pair count
CLM-073,Task 7,Java Within n=1004,scalabrino_pairs,430.0000,,,,rq1_pairs_9000.csv,Within-Scalabrino pair count
CLM-074,Task 7,Gemma4-12B Java,within_valid_acc,64.8300,,,,primary_pair_level.csv,Valid Acc on within-dataset Java (+2.94%p vs mixed 61.89%)
CLM-075,Task 7,Gemma4-12B Java,within_swap_err,15.0400,,,,primary_pair_level.csv,Strict-swap error on within Java (+2.77%p vs mixed 12.27%)
CLM-076,Task 7,Gemma-3-12B Java,within_valid_acc,66.2100,,,,pair_level_results.csv,Valid Acc on within-dataset Java (+3.67%p vs mixed 62.54%)
CLM-077,Task 7,Gemma-3-12B Java,within_swap_err,20.7200,,,,pair_level_results.csv,Strict-swap error on within Java (+1.95%p vs mixed 18.77%)
CLM-078,Task 7,Qwen2.5-VL-7B Java,within_swap_err,51.1000,,,,pair_level_results.csv,Strict-swap error on within Java (+3.60%p vs mixed 47.50%)
CLM-079,Task 7,Gemma4-12B Pooled Recalc,recalc_e_7004,57.7200,,,,n=7004 pooled,Pooled Effective Acc with Java within (+0.85%p vs 56.88%)
CLM-081,Task 8,9 Baselines CUDA,expected_mean_acc,70.7100,,,,ml_predictions_9models_9000.csv,Mean accuracy across 9 baselines on CUDA
CLM-082,Task 8,9 Baselines CUDA,median_acc,71.0600,,,,ml_predictions_9models_9000.csv,Median accuracy across 9 baselines on CUDA
CLM-083,Task 8,9 Baselines Java,expected_mean_acc,60.3100,,,,ml_predictions_9models_9000.csv,Mean accuracy across 9 baselines on Java
CLM-084,Task 8,9 Baselines Java,median_acc,60.6600,,,,ml_predictions_9models_9000.csv,Median accuracy across 9 baselines on Java
