base_id,rq0_id,language,family,node_type,start_byte_original,end_byte_original,original,replacement
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,20,33,DEVICE_Hashes,opaque_12267d_sym000
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,35,43,unsigned,opaque_12267d_001
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,44,48,char,opaque_12267d_sym002
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,50,66,DEVICE_HashTable,opaque_12267d_003
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,74,79,const,opaque_12267d_sym004
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,80,83,int,opaque_12267d_005
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,84,95,pass_length,opaque_12267d_sym006
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,98,104,length,opaque_12267d_007
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,119,121,b0,opaque_12267d_sym008
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,122,124,b1,opaque_12267d_009
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,126,128,b2,opaque_12267d_sym010
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,130,132,b3,opaque_12267d_011
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,134,136,b4,opaque_12267d_sym012
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,138,140,b5,opaque_12267d_013
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,142,144,b6,opaque_12267d_sym014
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,146,148,b7,opaque_12267d_015
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,150,152,b8,opaque_12267d_sym016
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,154,156,b9,opaque_12267d_017
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,158,161,b10,opaque_12267d_sym018
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,163,166,b11,opaque_12267d_019
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,168,171,b12,opaque_12267d_sym020
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,173,176,b13,opaque_12267d_021
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,178,181,b14,opaque_12267d_sym022
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,183,186,b15,opaque_12267d_023
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,201,202,a,opaque_12267d_sym024
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,203,204,b,opaque_12267d_025
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,205,206,c,opaque_12267d_sym026
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,207,208,d,opaque_12267d_027
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,223,235,thread_index,opaque_12267d_sym028
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,238,246,blockIdx,opaque_12267d_029
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,field_identifier,247,248,x,opaque_12267d_sym030
rq3g_cuda_000,dorn_cuda_108,cuda,operator_inversion,*,248,249,*,%
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,249,257,blockDim,opaque_12267d_031
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,field_identifier,258,259,x,opaque_12267d_sym030
rq3g_cuda_000,dorn_cuda_108,cuda,operator_inversion,+,260,261,+,-
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,262,271,threadIdx,opaque_12267d_033
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,field_identifier,272,273,x,opaque_12267d_sym030
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,289,305,DEVICE_Hashes_32,opaque_12267d_035
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,320,333,DEVICE_Hashes,opaque_12267d_sym000
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,353,355,p0,opaque_12267d_037
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,357,359,p1,opaque_12267d_sym035
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,361,363,p2,opaque_12267d_039
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,365,367,p3,opaque_12267d_sym037
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,369,371,p4,opaque_12267d_041
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,373,375,p5,opaque_12267d_sym039
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,377,379,p6,opaque_12267d_043
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,381,383,p7,opaque_12267d_sym041
rq3g_cuda_000,dorn_cuda_108,cuda,identity_fragmentation,identifier,385,387,p8,opaque_12267d_045
rq3g_cuda_000,dorn_cuda_108,cuda,semantic_identifier_masking,identifier,389,391,p9,opaque_12267d_sym043
