manuscript_location,run_label,run_id,condition,pair_set_id,n_pairs_per_model,languages,source_artifact,metric_values_json
Table 1,battery,rq1_model_battery_3lang_20260723/full_20260723,corrected grounded PNG; monokai_dark; fs20; wrap80; line numbers on; two images,rq1_pairs_9000_seed42,9000.0,java|python|cuda,analysis/full/metrics_by_scope.csv,
Table 2,battery,rq1_model_battery_3lang_20260723/full_20260723,same as Table 1; verdict-logit c/b decomposition,rq1_pairs_9000_seed42,9000.0,java|python|cuda,analysis/full/pair_level_results.csv,
Table 3; Fig. 3; rendering grid,grid,grounded_protocol_3lang_20260721/grid/full_20260721,12 rendering conditions; baseline monokai_dark/fs20/wrap80/line numbers on,pairs_seed42_grounded,3000.0,java|python|cuda,analysis/ab/A_GRID_RESULTS.csv,
Table 4; RQ3 figure,rq3,grounded_protocol_3lang_20260721/rq3/full_20260721,100 bases/language x 6 direct variant contrasts; two images,rq3_contrast_manifest,1800.0,java|python|cuda,rq3/analysis/image_only/RQ3_IMAGE_ONLY_PAIR_LEVEL.csv,
Table 5; Section 5.3 Java packaging rows,clean_default,full_selected_seed42_clean_rerender_20260706,corrected default PNG; original two-image or combined_labeled packaging,full_pair_set_rq0_seed42,3000.0,java,complementarity_mechanism_clean_*_20260706/pair_level_analysis_table.csv,
Table 5 Python/CUDA deployment rows,deploy,python_cuda_missing_experiments_20260717,deployment/OCR protocol; pooled Python and CUDA where indicated,python_cuda_pairs_seed42_clean,6000.0,python|cuda,results/python_cuda_missing_experiments_20260717,
Table 1,battery,rq1_model_battery_3lang_20260723/full_20260723,model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda,rq1_pairs_9000_seed42,3000.0,cuda,analysis/full/metrics_by_scope.csv,"{""ab_accuracy"": 0.6653333333333333, ""ba_accuracy"": 0.644, ""effective_accuracy"": 0.4646666666666667, ""spearman_valid_only"": 0.5506584123957613, ""strict_swap_error"": 0.38, ""valid_accuracy"": 0.7494623655913979, ""valid_pairs"": 1860}"
Table 1,battery,rq1_model_battery_3lang_20260723/full_20260723,model=Qwen/Qwen2.5-VL-7B-Instruct|language=java,rq1_pairs_9000_seed42,3000.0,java,analysis/full/metrics_by_scope.csv,"{""ab_accuracy"": 0.5726666666666667, ""ba_accuracy"": 0.557, ""effective_accuracy"": 0.3273333333333333, ""spearman_valid_only"": 0.2738210284803, ""strict_swap_error"": 0.475, ""valid_accuracy"": 0.6234920634920635, ""valid_pairs"": 1575}"
Table 1,battery,rq1_model_battery_3lang_20260723/full_20260723,model=Qwen/Qwen2.5-VL-7B-Instruct|language=python,rq1_pairs_9000_seed42,3000.0,python,analysis/full/metrics_by_scope.csv,"{""ab_accuracy"": 0.6313333333333333, ""ba_accuracy"": 0.6183333333333333, ""effective_accuracy"": 0.3656666666666666, ""spearman_valid_only"": 0.5310662886182494, ""strict_swap_error"": 0.5183333333333333, ""valid_accuracy"": 0.7591695501730104, ""valid_pairs"": 1445}"
Table 1,battery,rq1_model_battery_3lang_20260723/full_20260723,model=OpenGVLab/InternVL3-8B|language=cuda,rq1_pairs_9000_seed42,3000.0,cuda,analysis/full/metrics_by_scope.csv,"{""ab_accuracy"": 0.5366666666666666, ""ba_accuracy"": 0.502, ""effective_accuracy"": 0.2343333333333333, ""spearman_valid_only"": 0.0951506722400587, ""strict_swap_error"": 0.5700000000000001, ""valid_accuracy"": 0.5449612403100775, ""valid_pairs"": 1290}"
Table 1,battery,rq1_model_battery_3lang_20260723/full_20260723,model=OpenGVLab/InternVL3-8B|language=java,rq1_pairs_9000_seed42,3000.0,java,analysis/full/metrics_by_scope.csv,"{""ab_accuracy"": 0.489, ""ba_accuracy"": 0.471, ""effective_accuracy"": 0.3003333333333333, ""spearman_valid_only"": -0.0611247825885685, ""strict_swap_error"": 0.3593333333333333, ""valid_accuracy"": 0.4687825182101977, ""valid_pairs"": 1922}"
Table 1,battery,rq1_model_battery_3lang_20260723/full_20260723,model=OpenGVLab/InternVL3-8B|language=python,rq1_pairs_9000_seed42,3000.0,python,analysis/full/metrics_by_scope.csv,"{""ab_accuracy"": 0.4986666666666666, ""ba_accuracy"": 0.4846666666666667, ""effective_accuracy"": 0.2073333333333333, ""spearman_valid_only"": -0.04781500077393, ""strict_swap_error"": 0.5686666666666667, ""valid_accuracy"": 0.4806800618238022, ""valid_pairs"": 1294}"
Table 1,battery,rq1_model_battery_3lang_20260723/full_20260723,model=google/gemma-3-12b-it|language=cuda,rq1_pairs_9000_seed42,3000.0,cuda,analysis/full/metrics_by_scope.csv,"{""ab_accuracy"": 0.6303333333333333, ""ba_accuracy"": 0.6206666666666667, ""effective_accuracy"": 0.5366666666666666, ""spearman_valid_only"": 0.3601568945763549, ""strict_swap_error"": 0.1776666666666666, ""valid_accuracy"": 0.652614511552493, ""valid_pairs"": 2467}"
Table 1,battery,rq1_model_battery_3lang_20260723/full_20260723,model=google/gemma-3-12b-it|language=java,rq1_pairs_9000_seed42,3000.0,java,analysis/full/metrics_by_scope.csv,"{""ab_accuracy"": 0.5933333333333334, ""ba_accuracy"": 0.6103333333333333, ""effective_accuracy"": 0.508, ""spearman_valid_only"": 0.2955732948408025, ""strict_swap_error"": 0.1876666666666666, ""valid_accuracy"": 0.6253590480098482, ""valid_pairs"": 2437}"
Table 1,battery,rq1_model_battery_3lang_20260723/full_20260723,model=google/gemma-3-12b-it|language=python,rq1_pairs_9000_seed42,3000.0,python,analysis/full/metrics_by_scope.csv,"{""ab_accuracy"": 0.592, ""ba_accuracy"": 0.6283333333333333, ""effective_accuracy"": 0.466, ""spearman_valid_only"": 0.336725028025656, ""strict_swap_error"": 0.2883333333333333, ""valid_accuracy"": 0.6548009367681499, ""valid_pairs"": 2135}"
Table 1,battery,rq1_model_battery_3lang_20260723/full_20260723,model=mistralai/Ministral-3-8B-Instruct-2512-BF16|language=cuda,rq1_pairs_9000_seed42,3000.0,cuda,analysis/full/metrics_by_scope.csv,"{""ab_accuracy"": 0.559, ""ba_accuracy"": 0.5443333333333333, ""effective_accuracy"": 0.3706666666666666, ""spearman_valid_only"": 0.1575488413231432, ""strict_swap_error"": 0.362, ""valid_accuracy"": 0.58098223615465, ""valid_pairs"": 1914}"
Table 1,battery,rq1_model_battery_3lang_20260723/full_20260723,model=mistralai/Ministral-3-8B-Instruct-2512-BF16|language=java,rq1_pairs_9000_seed42,3000.0,java,analysis/full/metrics_by_scope.csv,"{""ab_accuracy"": 0.5513333333333333, ""ba_accuracy"": 0.506, ""effective_accuracy"": 0.3893333333333333, ""spearman_valid_only"": 0.1100510112659327, ""strict_swap_error"": 0.2786666666666666, ""valid_accuracy"": 0.5397412199630314, ""valid_pairs"": 2164}"
Table 1,battery,rq1_model_battery_3lang_20260723/full_20260723,model=mistralai/Ministral-3-8B-Instruct-2512-BF16|language=python,rq1_pairs_9000_seed42,3000.0,python,analysis/full/metrics_by_scope.csv,"{""ab_accuracy"": 0.4973333333333333, ""ba_accuracy"": 0.5453333333333333, ""effective_accuracy"": 0.3423333333333333, ""spearman_valid_only"": 0.0878664418056899, ""strict_swap_error"": 0.358, ""valid_accuracy"": 0.5332294911734164, ""valid_pairs"": 1926}"
Table 1,battery,rq1_model_battery_3lang_20260723/full_20260723,model=microsoft/Phi-4-multimodal-instruct|language=cuda,rq1_pairs_9000_seed42,3000.0,cuda,analysis/full/metrics_by_scope.csv,"{""ab_accuracy"": 0.4703333333333333, ""ba_accuracy"": 0.4603333333333333, ""effective_accuracy"": 0.3203333333333333, ""spearman_valid_only"": -0.1229274333065352, ""strict_swap_error"": 0.29, ""valid_accuracy"": 0.4511737089201877, ""valid_pairs"": 2130}"
Table 1,battery,rq1_model_battery_3lang_20260723/full_20260723,model=microsoft/Phi-4-multimodal-instruct|language=java,rq1_pairs_9000_seed42,3000.0,java,analysis/full/metrics_by_scope.csv,"{""ab_accuracy"": 0.4643333333333333, ""ba_accuracy"": 0.4643333333333333, ""effective_accuracy"": 0.3123333333333333, ""spearman_valid_only"": -0.1181110935976258, ""strict_swap_error"": 0.304, ""valid_accuracy"": 0.4487547892720306, ""valid_pairs"": 2088}"
Table 1,battery,rq1_model_battery_3lang_20260723/full_20260723,model=microsoft/Phi-4-multimodal-instruct|language=python,rq1_pairs_9000_seed42,3000.0,python,analysis/full/metrics_by_scope.csv,"{""ab_accuracy"": 0.457, ""ba_accuracy"": 0.4693333333333333, ""effective_accuracy"": 0.3043333333333333, ""spearman_valid_only"": -0.1286237599251746, ""strict_swap_error"": 0.3176666666666666, ""valid_accuracy"": 0.4460185637518319, ""valid_pairs"": 2047}"
Table 2,battery,rq1_model_battery_3lang_20260723/full_20260723,model=Qwen/Qwen2.5-VL-7B-Instruct,rq1_pairs_9000_seed42,9000.0,pooled,analysis/full/metrics_by_scope.csv,"{""content_ties"": 238, ""debiased_accuracy"": 0.6415555555555555, ""effective_accuracy"": 0.3858888888888889, ""mean_abs_position_margin"": 0.6927013888888889, ""median_abs_content_margin"": 0.6875, ""pairs"": 9000}"
Table 2,battery,rq1_model_battery_3lang_20260723/full_20260723,model=OpenGVLab/InternVL3-8B,rq1_pairs_9000_seed42,9000.0,pooled,analysis/full/metrics_by_scope.csv,"{""content_ties"": 227, ""debiased_accuracy"": 0.51, ""effective_accuracy"": 0.2473333333333333, ""mean_abs_position_margin"": 0.7363819444444445, ""median_abs_content_margin"": 0.6875, ""pairs"": 9000}"
