model_key,model,condition,pair_id,language,difficulty,abs_z_diff,human_delta,valid,correct,model_sign,ab_correct,ba_correct,ab_first,ba_first,parse_failure_calls,position_margin_b,content_margin_c,debiased_correct,complete_effective_logits,content_tie,boundary,bc_rule_evaluable,bc_valid_prediction,bc_rule_violation
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0010,java,easy,2.005845202665431,2.005845202665431,True,True,1.0,True,True,True,False,0,-1.875,9.125,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0023,java,easy,1.3299925209203027,1.3299925209203027,True,True,1.0,True,True,True,False,0,-2.75,2.75,True,True,False,True,False,False,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0030,java,easy,2.8838451691242213,-2.8838451691242213,True,True,-1.0,True,True,False,True,0,-1.0,-16.75,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0039,java,easy,1.4221702203900275,1.4221702203900275,False,False,,False,True,False,False,0,-5.875,1.375,True,True,False,False,True,False,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0054,java,easy,1.0402911797297418,-1.0402911797297418,False,False,,True,False,False,False,0,-4.75,0.25,False,True,False,False,True,False,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0059,java,easy,2.7553614994576363,2.7553614994576363,False,False,,False,True,False,False,0,-5.375,0.875,True,True,False,False,True,False,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0063,java,easy,1.4848122052212114,1.4848122052212114,True,False,-1.0,False,False,False,True,0,-4.75,-8.5,False,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0066,java,easy,1.4951320910969277,1.4951320910969275,True,True,1.0,True,True,True,False,0,1.75,3.25,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0067,java,easy,1.676639133130703,1.6766391331307027,True,True,1.0,True,True,True,False,0,-2.0,11.0,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0070,java,easy,2.8773811535026725,2.8773811535026725,True,True,1.0,True,True,True,False,0,6.5,9.75,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0076,java,easy,2.317610729524489,-2.317610729524489,False,False,,True,False,False,False,0,-1.5,-0.25,True,True,False,False,True,False,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0088,java,easy,1.3958337348272494,-1.3958337348272494,False,False,,True,False,False,False,0,-2.875,0.375,False,True,False,False,True,False,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0096,java,easy,2.0599211915428848,-2.0599211915428848,False,False,,True,False,False,False,0,-1.625,-0.375,True,True,False,False,True,False,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0101,java,easy,1.4481558337827165,1.4481558337827165,True,False,-1.0,False,False,False,True,0,0.25,-4.0,False,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0107,java,easy,2.586342266607722,-2.586342266607722,True,False,1.0,False,False,True,False,0,2.5,6.5,False,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0136,java,easy,1.092964150855299,-1.092964150855299,False,False,,True,False,False,False,0,-2.5,0.5,False,True,False,False,True,False,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0139,java,easy,1.1381441968456452,-1.1381441968456452,True,False,1.0,False,False,True,False,0,-0.25,13.75,False,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0174,java,easy,2.3218830294187702,2.3218830294187702,True,False,-1.0,False,False,False,True,0,-1.75,-16.25,False,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0198,java,easy,3.1998829958775623,-3.1998829958775623,True,True,-1.0,True,True,False,True,0,-2.25,-15.0,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0209,java,easy,2.393049159730264,-2.3930491597302637,True,True,-1.0,True,True,False,True,0,0.5,-14.75,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0210,java,easy,2.120087087803652,-2.120087087803652,True,True,-1.0,True,True,False,True,0,-2.75,-4.5,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0218,java,easy,2.8076626731763943,-2.8076626731763943,True,True,-1.0,True,True,False,True,0,0.0,-15.75,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0221,java,easy,1.2509830642319693,-1.2509830642319693,True,True,-1.0,True,True,False,True,0,-1.875,-3.875,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0235,java,easy,1.3207247806263958,-1.3207247806263958,True,True,-1.0,True,True,False,True,0,-4.5,-17.5,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0261,java,easy,1.9823570740083247,1.9823570740083252,False,False,,False,True,False,False,0,-3.25,0.5,True,True,False,False,True,False,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0275,java,easy,4.165866739495224,4.165866739495224,True,True,1.0,True,True,True,False,0,2.625,11.375,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0277,java,easy,2.533060902234065,2.5330609022340655,True,True,1.0,True,True,True,False,0,2.125,9.875,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0280,java,easy,2.49307018557683,2.49307018557683,True,True,1.0,True,True,True,False,0,-2.75,11.5,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0289,java,easy,2.495918542482502,2.495918542482502,True,True,1.0,True,True,True,False,0,-4.875,10.375,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0292,java,easy,1.9513974163811785,1.9513974163811783,False,False,,False,True,False,False,0,-6.375,4.375,True,True,False,False,True,False,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0296,java,easy,1.374843090905726,1.3748430909057259,True,True,1.0,True,True,True,False,0,0.0,17.5,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0299,java,easy,1.3168242781389128,-1.3168242781389128,False,False,,True,False,False,False,0,-0.875,0.375,False,True,False,False,True,False,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0307,java,easy,2.779562756460902,-2.779562756460902,True,True,-1.0,True,True,False,True,0,-5.0,-7.25,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0312,java,easy,2.880975416053383,-2.880975416053383,True,True,-1.0,True,True,False,True,0,-4.875,-9.375,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0318,java,easy,1.1516053223234457,-1.1516053223234457,True,True,-1.0,True,True,False,True,0,-0.5,-4.75,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0319,java,easy,1.079073238497022,-1.0790732384970219,True,True,-1.0,True,True,False,True,0,-2.125,-11.875,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0327,java,easy,1.7951533181632056,1.7951533181632056,True,True,1.0,True,True,True,False,0,1.5,11.0,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0328,java,easy,1.9766603601969803,1.9766603601969805,False,False,,True,False,True,True,0,3.75,2.0,True,True,False,False,True,False,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0346,java,easy,1.929312305475969,-1.9293123054759693,False,False,,True,False,False,False,0,-8.125,2.375,False,True,False,False,True,False,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0370,java,easy,1.3139144659874658,-1.3139144659874658,True,False,1.0,False,False,True,False,0,2.75,5.5,False,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0371,java,easy,2.7972491448983736,-2.7972491448983736,True,False,1.0,False,False,True,False,0,-1.125,6.125,False,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0382,java,easy,1.031561438198245,-1.031561438198245,False,False,,False,True,True,True,0,4.0,-2.0,True,True,False,False,True,False,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0411,java,easy,2.8500157584262333,-2.8500157584262333,True,True,-1.0,True,True,False,True,0,-2.125,-6.375,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0436,java,easy,1.2346155923748174,1.2346155923748174,True,False,-1.0,False,False,False,True,0,-2.75,-6.25,False,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0439,java,easy,1.348801563784483,-1.348801563784483,True,True,-1.0,True,True,False,True,0,-5.875,-8.375,True,True,False,False,True,True,False
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,rq1_0451,java,easy,1.0402911797297418,-1.0402911797297418,True,True,-1.0,True,True,False,True,0,-1.25,-4.75,True,True,False,False,True,True,False
